# {"t_start": 1639658002.825674, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
4.925781,9,2.649026
9.436814,7,2.731976
11.400247,13,2.89035
19.711699,16,3.082255
12.59507,8,3.175744
13.890406,6,3.248476
16.058958,5,3.30599
1.347119,20,22.488469
14.313147,6,22.561128
7.66855,7,22.645303
10.28193,13,22.804126
18.52712,17,23.006182
14.023123,6,34.099262
15.530349,15,34.287321
9.690746,11,34.433235
13.017349,11,34.57326
16.508738,9,34.690015
15.960468,7,34.78029
16.482033,16,46.034051
22.233362,18,46.272215
19.489334,9,46.393899
18.87446,11,46.538451
16.184611,9,46.655818
20.329465,19,57.979475
15.778078,5,58.044598
15.161309,5,58.111457
9.806295,8,58.216537
19.32359,13,58.39183
11.65765,7,58.486545
16.063609,7,58.580416
18.742109,10,69.656305
17.231664,6,69.733867
15.008896,7,69.825546
13.14021,6,69.904517
10.736303,11,70.048679
13.538898,5,70.113319
13.997858,9,70.231634
17.330911,6,70.309968
19.635643,12,81.379618
15.056265,9,81.498829
12.880655,8,81.603099
9.999371,8,81.707365
21.002557,14,81.895197
17.007974,7,81.987103
18.253236,8,82.093005
17.015345,10,93.525167
16.474669,8,93.628825
15.114318,6,93.707916
17.18259,6,93.787425
17.81972,9,93.904485
23.717683,14,94.088876
17.714598,8,94.195631
19.173693,7,94.287487
21.005431,12,105.676309
12.439015,11,105.827932
20.210749,11,105.977122
21.662264,12,106.137629
20.400888,10,106.270777
27.159706,20,117.571222
30.60484,22,117.863636
24.54322,14,118.051183
15.850088,6,118.13012
29.581298,19,129.716047
13.869545,7,129.811722
18.182813,12,129.96844
17.092411,9,130.086916
26.825556,15,130.286633
16.341071,9,130.403468
22.756307,10,149.29045
20.098108,13,149.460924
27.908444,19,149.707108
22.966057,13,149.877448
18.867712,9,149.995326
40.81178,33,161.724311
28.450997,15,161.917418
29.550001,20,162.178271
22.21315,13,176.302837
44.731033,35,176.827497
36.347287,40,191.583804
49.508933,37,192.106619
20.839153,10,205.565379
30.308968,39,206.086242
50.416477,40,219.956692
48.585511,38,220.480615
51.541664,33,235.580661
64.531145,48,249.348079
65.425611,41,249.92795
60.091387,39,263.187659
43.586917,36,263.654201
62.216857,41,277.129938
61.834079,40,300.594442
61.116383,39,301.118922
65.545881,42,313.549459
73.420133,48,325.612679
62.040664,40,326.153531
76.424563,46,338.338261
64.947645,42,350.500024
85.942794,54,362.61183
73.996471,46,363.225999
66.724061,41,375.465088
65.919971,38,387.56457
72.422709,48,388.213176
61.550304,40,400.246843
74.836621,46,412.309171
68.16401,43,412.890065
75.560584,52,433.386893
68.401805,53,445.695241
73.659836,49,457.837964
76.414711,49,458.503459
78.662657,53,470.586352
73.474499,52,482.941168
67.228893,52,495.206115
65.207978,43,507.40454
69.392479,54,508.128288
73.312587,50,520.492791
74.912498,48,532.979969
88.027099,61,545.057533
79.297825,57,566.175875
74.066704,53,578.682054
105.281173,74,591.645236
76.743587,51,603.681469
86.795805,63,616.10047
77.579862,52,616.798947
73.514131,62,629.345114
85.279644,59,641.942584
80.343063,49,654.577627
81.081291,57,667.160596
97.363024,62,679.506804
74.423668,52,701.229252
93.553851,56,713.547071
88.388487,55,714.284193
88.958567,59,726.439366
87.398022,63,738.769823
96.644446,64,751.301359
86.506081,66,763.609103
105.563933,69,776.083755
87.391601,61,788.175285
89.549673,62,800.671917
92.106205,62,813.040557
88.16718,66,836.295032
98.300791,66,848.860568
105.579154,69,861.536384
94.968932,74,886.061734
110.80619,69,898.6722
117.301784,78,911.442611
108.38151,66,924.100199
107.157103,68,937.015181
107.864721,70,949.804568
110.619521,71,970.703092
119.88833,77,983.264051
90.735952,63,995.924279
104.662657,71,1020.090492
104.348999,68,1032.463335
104.213117,69,1045.237073
103.000125,66,1057.765912
107.125146,72,1070.302747
99.666273,71,1083.225956
118.509666,77,1104.342526
122.134386,81,1116.82944
115.868228,74,1140.849205
110.212719,71,1153.45448
102.473061,72,1166.05482
110.129551,69,1178.784981
118.082503,73,1191.324261
114.166909,69,1205.217956
108.487054,69,1218.474449
114.132717,76,1239.958119
119.436102,75,1266.590472
119.246279,73,1279.826841
119.458411,80,1293.100343
112.464931,73,1306.717246
135.250184,85,1320.316519
113.485374,79,1344.939779
113.974424,80,1358.990535
134.999418,89,1381.99274
114.682739,75,1395.431304
123.169933,84,1420.786514
117.817471,75,1434.520935
119.208406,76,1448.025254
123.543012,78,1461.075256
124.475085,82,1484.937949
109.360322,75,1497.688679
139.429445,92,1520.180654
128.179393,84,1546.871753
116.156501,78,1560.485036
108.757963,78,1573.619354
124.26887,80,1586.977145
116.355951,80,1600.444207
119.847738,83,1626.141378
123.738439,80,1640.192738
118.016229,78,1664.415775
