# {"t_start": 1639658002.8018744, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
7.642759,8,2.663775
13.342418,7,2.743886
11.502875,8,2.8404
19.211771,27,3.164675
18.086337,18,22.317553
9.039785,8,22.416971
9.677913,8,22.513204
10.015346,15,22.692859
6.113518,6,22.766085
14.020444,15,22.945748
11.887012,8,23.042973
13.88254,8,34.1593
15.162385,16,34.363413
14.405581,17,34.584927
17.550532,16,34.79057
22.730311,11,45.97654
14.146806,5,46.044244
15.167018,18,46.283118
13.763478,7,46.377372
9.76122,12,46.536328
15.021556,6,46.614332
8.390882,12,46.771597
12.939315,9,57.962929
16.691878,8,58.068365
11.214453,6,58.148196
7.660351,14,58.333469
14.702477,8,58.442511
12.065542,6,58.523357
19.073425,11,58.670734
15.279143,19,69.862755
11.934666,6,69.941042
16.586259,8,70.046025
17.559523,12,70.202292
20.339516,11,70.347131
16.560545,15,81.455527
16.804079,12,81.613564
32.721727,25,81.944327
17.845451,6,82.024533
20.6659,19,93.575196
18.304489,13,93.744253
19.212001,8,93.849674
15.343451,5,93.914815
16.36284,8,94.019085
16.381182,7,94.112844
26.296634,21,105.619027
18.221598,9,105.741789
19.281641,7,105.838184
21.694706,11,105.98636
19.188893,10,106.121603
16.9243,6,106.20103
15.54638,7,106.294398
18.369021,7,106.387662
21.463163,11,117.567882
22.736968,14,117.753829
20.491171,14,117.941933
27.622455,22,118.232789
28.001758,19,129.822289
24.350086,16,130.032063
13.061879,6,130.110805
29.774213,20,130.37504
17.925271,7,130.466612
20.902442,10,149.353445
26.674414,19,149.601904
20.726043,11,149.744056
19.383852,11,149.887446
21.745356,14,150.072545
23.89267,15,161.566973
22.883722,13,161.735476
27.62723,21,162.007208
19.490893,8,162.112316
24.899457,16,176.272388
13.290432,16,176.502798
26.686902,21,176.814296
20.772746,10,176.998322
23.508616,16,191.382637
45.800052,30,191.805868
36.070664,24,192.142987
52.704038,42,206.030235
30.831372,20,206.292893
51.413684,50,220.319487
60.266521,37,235.46665
59.698468,37,235.978133
54.723794,35,249.571254
64.817912,42,262.892945
60.769685,40,263.420341
51.742083,35,276.800253
63.670298,39,277.324121
61.792277,39,300.776664
63.293461,42,313.207045
60.185412,40,313.749674
58.545229,36,325.648749
69.293522,47,326.285679
54.527504,36,338.334658
62.33701,38,350.442165
69.028149,45,351.04356
68.027961,42,363.000281
69.817385,50,375.352322
61.013146,48,387.588345
62.735311,41,388.14187
84.22158,55,400.375842
79.475866,53,412.533706
69.46537,45,432.933151
72.996404,47,433.57482
69.375261,43,445.746354
71.432206,45,457.834782
63.896425,47,458.472649
82.620973,52,470.542921
69.157146,50,482.87087
78.839153,50,495.109237
79.697123,62,507.564127
66.689474,43,508.13987
60.134593,52,520.529883
88.369782,60,533.1786
74.222187,52,545.134271
64.439147,49,566.147111
82.426168,59,578.73274
67.720626,45,579.337252
81.850851,62,592.140645
75.82293,58,604.267987
78.823605,60,616.649192
84.940125,56,629.119534
74.662606,53,641.631171
90.04475,65,654.482719
78.937375,57,667.064364
70.737213,54,679.303182
92.429907,60,701.130195
79.026819,56,701.894092
77.656557,66,714.335372
71.84462,58,726.476492
93.593946,60,738.766829
100.158075,63,751.28495
102.951315,66,763.593231
111.282049,70,776.079695
95.813131,63,788.199093
96.142638,63,800.709139
96.436249,68,813.156776
111.650535,73,848.195071
97.119935,66,860.818878
95.853636,67,873.418493
97.593687,62,886.08555
119.250515,73,898.750007
107.857836,71,911.424969
84.315079,57,923.961625
118.306798,75,936.971619
112.582224,73,949.801564
128.674305,77,970.780933
100.080858,67,983.205966
117.945884,80,1007.815037
101.79156,71,1020.262948
92.471608,62,1032.556632
111.204218,73,1045.382888
103.319274,68,1057.93659
107.188482,69,1070.436403
92.851407,63,1083.249846
103.017967,65,1104.205821
103.200971,71,1116.565595
114.708988,70,1128.941548
120.247749,83,1141.631398
113.771221,76,1165.942568
114.576169,71,1178.699611
116.188178,74,1191.25641
117.395864,79,1205.28191
118.219573,78,1218.657836
111.192909,71,1240.075376
124.475508,81,1266.791575
125.938588,82,1280.173281
124.212906,83,1293.467132
124.986987,76,1319.581958
115.953335,72,1332.871014
120.857292,74,1345.098628
111.460884,82,1359.173329
120.244406,76,1382.003336
117.418239,78,1395.482176
105.276806,71,1420.660637
112.405132,73,1434.368937
118.783198,79,1447.913157
115.824989,83,1461.030199
126.410428,83,1484.906992
123.086426,81,1497.739431
129.440026,90,1520.204341
135.244164,86,1546.922231
110.918175,82,1560.590091
123.436506,80,1573.749468
124.168862,80,1587.105846
118.879636,86,1612.653637
116.30831,77,1626.280955
127.907233,80,1640.329032
116.203669,79,1664.622021
