# {"t_start": 1639658002.4633477, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
12.551491,5,2.960962
19.667473,26,3.274453
12.165575,11,3.405711
3.846288,9,3.514174
16.32654,8,3.609205
-4.210827,24,22.839013
9.190663,5,22.899353
13.299939,8,22.995866
10.942972,5,23.05454
15.994869,11,23.190843
5.037552,10,23.307231
7.10976,16,34.522571
13.085526,6,34.597875
13.879011,6,34.674826
16.933342,9,34.794187
15.103815,6,34.871599
2.668468,16,35.07633
16.538582,6,35.15459
15.218383,7,46.288441
14.917266,6,46.368245
16.174154,17,46.593932
13.593021,13,46.768758
14.337806,6,46.847054
11.177915,5,46.912279
12.096109,5,46.977103
14.193695,7,47.070617
11.94149,7,58.232261
18.779812,24,58.551773
18.458744,8,58.657732
18.557006,8,58.766723
5.80045,10,58.90128
17.263925,8,59.008304
14.437563,6,70.030169
17.362257,8,70.134046
16.864908,8,70.239327
16.391391,8,70.343523
13.450329,8,70.448579
13.023667,13,70.61912
9.340034,11,70.76167
16.360401,8,81.780286
19.574289,16,81.9898
15.228819,6,82.068744
11.720407,14,82.256202
23.100144,16,82.466982
31.879389,21,94.043105
14.689791,8,94.148572
31.556097,20,94.410246
20.804877,15,94.609201
11.689556,5,94.676346
19.52991,9,106.023113
19.541186,10,106.162498
17.761677,10,106.296911
25.886668,21,106.577532
18.072073,9,106.699085
25.599985,17,117.958997
23.255898,16,118.170324
18.291609,9,118.291368
30.915758,22,118.582436
17.39804,11,130.062016
14.673951,6,130.144769
27.060101,17,130.369574
23.346051,15,130.569489
26.591097,19,130.81679
23.052375,15,149.770515
31.923861,21,150.042651
27.868903,18,150.278802
22.789169,26,161.916996
18.916108,8,162.019757
25.247831,17,162.239776
14.609743,9,162.359338
26.519162,13,162.526538
33.094577,21,176.767508
30.951758,43,177.438125
56.723559,39,192.143394
45.570649,33,205.926464
51.576101,37,206.421149
28.056405,17,206.643196
51.109051,40,220.537057
57.827307,35,235.644155
52.886055,36,236.144362
64.461925,45,249.880981
56.951152,39,250.422585
71.367506,49,263.808794
57.550536,37,277.224516
64.455018,42,277.781091
70.839858,46,301.330459
67.210395,44,313.78753
62.024169,46,325.824971
61.878363,56,326.581787
62.290038,39,338.671952
67.500582,40,350.805801
57.250595,36,351.287441
73.322649,50,363.351126
71.870867,47,375.662618
61.257673,39,376.19132
79.422843,54,388.505478
59.908655,54,400.726483
73.48899,47,412.8049
65.084381,44,413.400352
70.109011,48,433.843779
70.093519,45,446.042897
67.241029,43,458.105111
72.683123,47,458.742378
78.883107,53,470.82584
77.493917,62,483.316153
82.751652,54,495.608275
73.018491,45,507.833292
80.993435,53,508.542598
96.085403,67,532.975507
68.971991,57,533.746179
82.568207,61,545.815835
72.345852,56,566.927585
73.846832,51,579.40475
78.317288,53,592.086759
71.781048,48,604.082031
80.625064,56,616.409213
80.579105,51,617.09373
81.248738,58,629.588364
102.977601,66,642.277604
79.583207,53,654.965126
85.452985,53,667.495765
71.050984,57,679.774806
87.936553,64,701.658475
89.912981,62,714.057298
84.745636,58,726.200796
100.136925,67,738.582211
72.956982,51,750.940973
71.89707,61,751.757177
108.696213,74,775.706845
92.159146,67,787.885149
106.117211,69,800.480306
110.91541,74,813.012486
100.859302,62,836.214828
108.250331,69,848.823479
94.191145,60,861.370405
110.879157,74,874.08894
108.284407,74,886.896331
108.179278,75,899.585087
103.495021,72,912.277014
96.290681,65,936.913633
114.467241,74,949.768965
109.519288,72,970.670888
100.27555,67,983.097685
117.66297,78,995.958095
100.738448,72,1008.652083
123.226326,75,1021.152115
118.148695,77,1045.490308
113.149203,73,1058.113109
115.88745,73,1070.663868
123.320051,79,1083.695616
120.633573,78,1104.821635
107.488778,69,1117.151331
111.587188,71,1129.53857
117.814479,77,1153.81552
114.299883,75,1166.457459
112.598614,74,1179.25413
119.727582,76,1191.832304
102.501449,69,1205.726964
118.70964,79,1239.574532
120.865493,77,1252.832861
112.616858,72,1267.207153
85.922026,61,1280.283056
105.91742,74,1293.475502
125.936133,83,1307.230264
122.925689,81,1333.098509
123.551943,83,1345.449196
115.692663,81,1359.51074
104.079821,74,1382.313162
92.785312,69,1395.668122
110.409822,77,1420.932637
121.993088,79,1434.720548
99.609904,72,1448.168263
135.94179,88,1461.354233
106.938287,74,1473.687828
128.096532,85,1497.9972
105.472489,74,1520.242097
124.40728,82,1534.459678
135.531711,87,1560.642422
122.995804,82,1573.828068
109.65717,79,1587.177485
114.999255,76,1600.597161
129.996085,83,1626.266921
124.433409,85,1640.40073
111.63183,76,1664.578252
