# {"t_start": 1639658003.998226, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
1.182697,8,1.46849
18.846566,14,1.638694
12.391495,5,1.696018
11.146704,10,1.817036
4.012,13,1.973501
30.332969,31,21.283132
12.618192,9,21.394779
9.90532,5,21.455673
15.767113,22,21.718187
15.280252,9,21.825263
11.79953,10,32.966296
6.979339,13,33.133034
28.753523,33,33.558977
14.651287,6,33.638097
15.097473,7,44.771344
11.491245,6,44.851985
17.638267,12,45.011262
13.973594,11,45.158293
15.873494,7,45.25185
11.812659,5,45.317507
9.496657,8,45.423562
11.415054,7,45.516212
16.840897,5,45.57978
16.74935,7,56.744245
15.049461,6,56.821917
16.232941,12,56.986282
16.5114,8,57.088317
11.160687,8,57.195915
23.136611,31,68.551774
14.560581,12,68.709072
16.756888,11,68.853472
17.895388,16,69.06389
16.208536,10,69.191983
16.610557,7,69.285231
17.873658,6,80.276935
15.997285,7,80.370543
14.862452,6,80.447159
17.754383,9,80.565341
14.732384,10,80.699306
14.261208,7,80.792225
18.438609,7,80.88353
14.399848,5,80.950645
22.454188,13,92.423483
16.46317,7,92.513613
18.474972,10,92.646816
15.542601,7,92.738693
14.163389,7,92.826772
15.842382,13,92.999189
13.18592,8,93.105966
17.315881,8,104.439423
16.978578,6,104.52248
19.024486,12,104.686711
28.253521,22,104.982706
15.839138,7,105.074826
13.343281,6,105.155655
24.520459,20,116.456722
26.109131,18,116.69514
18.683683,9,116.813256
44.282363,30,128.547376
19.809109,8,128.653929
35.225966,36,129.130238
21.313042,16,129.337985
25.073955,16,148.304942
21.245267,18,148.538463
20.290383,11,148.681995
21.990761,12,148.839826
20.074623,10,160.27015
24.873659,11,160.413539
19.588908,8,160.516908
40.497194,28,160.880929
30.280509,21,175.107267
52.105334,42,175.753483
37.641553,24,190.261436
56.022105,41,190.841346
50.437263,35,204.641035
63.909526,48,218.59547
28.898219,21,218.902827
55.693669,37,219.405075
46.667589,30,234.47012
49.271615,34,234.943667
52.460757,35,248.52638
65.015699,40,261.821489
63.644996,42,262.369363
60.976983,43,275.869866
66.991895,45,299.398794
71.334304,49,300.05657
66.193486,49,312.584824
61.10875,45,324.606677
57.412604,48,336.816194
63.529564,40,337.360998
65.983876,40,349.491909
66.447868,42,361.443395
61.030746,40,361.97998
70.073826,44,374.255786
64.421514,41,386.396168
58.571538,35,386.869188
63.02551,39,398.888241
69.758932,53,411.04444
63.166764,38,411.559487
66.277966,43,431.933885
68.996495,46,432.557638
68.565167,57,444.91217
72.528468,46,457.021502
79.636939,55,469.132107
60.374592,49,481.445673
60.467085,48,482.101836
75.60683,52,494.36426
73.848489,55,506.72363
80.160461,54,519.133743
66.712173,52,531.677291
80.532376,61,543.755949
80.641457,54,564.836229
89.710078,62,577.458699
82.11766,62,590.259092
75.80687,58,591.039898
80.207108,54,603.117601
87.414128,65,615.564001
98.94765,66,628.163836
79.020001,53,640.679947
79.612985,55,653.39578
100.544202,67,666.112055
88.667746,59,678.41766
76.67809,51,700.128897
79.967932,53,712.407041
81.105297,52,713.102614
99.214924,65,725.33711
110.707931,74,749.49113
116.168159,78,761.95881
85.439523,66,774.380548
87.593898,64,786.520051
85.787149,65,799.059705
98.19009,66,811.483244
99.630441,66,834.738626
110.535184,70,847.364286
97.194471,61,859.921218
96.745188,62,872.473066
97.097716,65,885.161736
99.653674,68,897.758488
113.306696,72,910.449401
104.086742,65,923.093505
114.860987,71,936.046503
112.192113,73,948.874712
115.784532,76,981.369344
122.394,75,994.186682
107.502776,76,1006.935989
107.127496,74,1019.421943
107.703433,70,1031.820228
118.188077,74,1044.665284
122.070994,79,1068.930471
105.111983,69,1081.826965
117.847773,79,1102.973468
116.437843,72,1115.346981
101.975715,71,1127.736208
115.531801,80,1140.384643
119.669735,76,1164.696177
93.539045,65,1177.371756
120.154758,74,1189.932376
120.167393,80,1203.967552
121.599826,79,1217.360704
125.498058,79,1238.883275
121.322547,79,1265.572282
132.830569,84,1278.980828
119.582748,78,1292.207192
111.735154,71,1305.795954
108.082399,76,1331.596195
135.699165,84,1343.960107
104.379458,70,1357.874337
123.877576,82,1380.783761
116.194558,81,1394.302665
103.595767,75,1419.536233
114.599579,78,1433.312646
108.569946,74,1446.787745
118.607015,76,1459.811377
130.181916,86,1483.728967
114.333496,75,1496.480102
124.667644,78,1518.779627
125.204294,81,1532.983952
126.276942,83,1559.11259
115.920203,81,1572.284044
130.590588,80,1585.646892
121.989782,82,1599.144632
123.703813,77,1624.737315
133.047555,84,1638.858257
108.600621,82,1663.118925
