# {"t_start": 1639658004.930837, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
17.413014,11,0.573228
17.050468,7,0.65497
9.185391,11,0.787194
3.482018,12,0.929514
13.368862,5,0.991564
9.212563,16,1.181664
7.905057,17,20.33027
11.993291,16,20.521018
0.508207,16,20.715718
14.172463,8,20.811919
9.055022,5,20.871424
12.554822,14,32.062709
11.588114,8,32.162571
16.306583,10,32.29489
10.072751,8,32.399421
8.776592,11,32.539538
19.271401,7,32.627455
15.490865,5,32.695382
11.53206,5,32.759286
11.743222,14,43.989419
4.783236,9,44.108002
13.120905,6,44.185933
14.826354,13,44.360679
18.491259,13,44.531854
9.761727,6,44.609844
21.447179,14,55.868439
15.421306,6,55.945765
14.765932,8,56.051809
15.437628,10,56.184696
11.52482,10,56.320251
16.750119,13,56.495907
16.852382,8,67.543217
15.946833,7,67.635647
13.619012,6,67.714327
14.510141,5,67.77984
19.280677,12,67.93748
17.661828,24,68.248384
12.636085,7,68.341798
13.920665,8,79.360895
13.140057,8,79.465555
24.95876,16,79.673988
13.251496,21,79.952534
17.792305,7,80.047307
14.502044,7,91.439835
11.257262,7,91.530095
15.03096,5,91.595253
19.06257,10,91.728096
19.884004,9,91.842808
19.332836,13,92.017368
15.303996,6,92.095848
16.727983,6,92.174494
21.010263,11,103.55112
19.652586,9,103.675533
22.734083,10,103.8113
20.313064,15,104.012972
21.119411,9,104.131983
17.287256,6,104.212013
20.116221,11,115.391641
19.403655,8,115.499628
34.789738,25,115.831804
26.070407,15,116.030703
24.648202,15,116.226409
17.743416,6,127.644493
22.254785,11,127.790236
21.342884,12,127.948166
26.60762,14,128.136389
25.126352,13,128.304261
22.486554,12,147.218017
40.174597,41,147.751998
24.718988,14,147.936371
37.379034,42,159.780565
19.066233,12,159.93802
32.983503,31,174.309721
32.521115,21,174.607552
16.730336,8,174.744643
37.641194,24,189.275652
44.460375,34,189.751508
21.307587,11,189.91039
45.340485,42,203.802309
49.313458,33,204.236966
31.568193,22,217.873927
55.546923,46,233.143491
53.653279,42,233.726724
35.505531,40,247.391402
50.156638,34,247.867784
57.45973,38,261.115668
59.027873,48,274.664634
55.181634,50,275.335802
50.509083,35,298.734462
58.529306,43,311.178331
60.415148,39,311.708322
54.375288,33,323.567962
71.599668,48,335.77789
55.556439,36,336.266615
60.740447,43,348.441084
64.050712,38,348.946517
62.030198,38,360.851007
71.099991,47,373.164367
76.951759,52,385.452476
66.808455,45,386.059474
64.934145,42,398.119452
62.565291,39,398.640639
64.312363,40,410.629969
72.655755,45,431.030885
66.908584,43,431.614889
74.422786,51,443.890929
80.539133,52,456.077708
62.011884,49,468.107495
72.72552,53,480.474098
53.803256,45,481.088926
68.952483,44,493.245949
68.982981,49,505.522687
67.481063,42,506.083645
72.088835,45,518.38103
71.43481,48,530.866527
73.076217,50,542.799209
72.831873,45,543.394616
89.302889,69,576.473791
73.090288,61,577.291325
63.58587,54,589.992263
117.798049,69,602.267832
95.924548,67,614.739259
79.192118,57,627.22043
89.143827,67,639.92164
66.070328,54,652.627251
83.305919,60,665.247931
78.025001,62,677.595258
85.296396,61,699.445889
114.167632,71,711.958297
80.638416,64,724.17994
96.530946,66,736.552215
85.202539,56,748.974055
89.189742,64,761.257998
84.217095,60,773.600095
89.49075,65,785.750136
88.285644,64,798.278715
105.962296,70,810.753098
113.212062,70,834.063695
111.834465,70,846.681957
118.552405,76,871.147865
97.67855,69,883.907613
105.441793,67,896.491319
121.388757,76,909.233264
120.314795,74,922.002553
102.62179,70,934.942777
87.800316,62,947.626047
89.632844,70,968.512134
117.630272,73,981.016508
114.669212,73,993.812832
108.810534,71,1017.979496
103.235371,70,1030.379927
106.548061,72,1043.193
101.278852,73,1055.81503
118.718278,79,1068.447347
108.980875,70,1081.355381
111.822616,74,1102.430241
109.991231,65,1114.704371
98.368768,69,1127.063846
105.013515,70,1151.249982
99.768968,68,1163.793105
118.167245,81,1176.687776
111.444302,71,1189.199844
119.284225,76,1203.187179
105.74793,73,1216.496018
100.027237,67,1237.86058
124.591856,79,1264.548021
110.59136,74,1277.796332
108.564886,77,1291.029729
105.714715,72,1304.633023
112.570974,78,1318.137303
125.308325,81,1342.787461
131.620929,88,1356.94551
121.397327,80,1379.827054
115.330823,73,1393.237054
121.224195,78,1418.511682
128.578995,82,1432.339524
121.141798,82,1445.927753
125.633417,82,1459.030238
113.857294,77,1482.826285
118.902954,79,1495.630792
138.824348,94,1518.153956
131.850247,85,1544.852922
125.360824,83,1558.534769
119.840955,87,1571.786442
118.998736,83,1597.583376
127.010054,83,1610.69289
139.728695,89,1624.482032
113.195744,76,1638.482367
