# {"t_start": 1639658002.730333, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
10.715363,6,2.707
14.798931,18,2.930744
10.193476,9,3.038363
17.981259,19,3.260396
3.240118,26,22.512137
18.445141,21,22.764543
20.187366,23,23.04075
8.476581,12,34.205979
17.2465,14,34.381876
11.315003,23,34.680875
10.317157,6,34.759124
4.880027,9,34.875576
10.965138,11,46.06123
18.095282,9,46.180846
19.867743,16,46.393944
10.71947,5,46.46198
12.782727,6,46.541682
13.985351,8,46.645516
15.416664,9,46.763473
12.590475,5,46.829609
16.574038,8,58.006432
23.938263,17,58.232246
12.285155,7,58.324253
16.362917,15,58.526298
11.713579,5,58.593938
10.19953,6,58.67427
26.536011,22,69.907143
18.310396,7,69.998707
15.606281,7,70.09017
15.96905,10,70.221284
12.223554,9,70.338868
14.298863,6,70.417789
12.763983,5,70.481594
15.494359,6,81.474163
13.173625,6,81.553499
19.066419,8,81.658214
17.078238,9,81.775945
17.736429,7,81.868038
17.810699,6,81.948327
16.249264,6,82.029963
11.934102,6,82.109877
19.880893,13,82.279626
17.183854,8,93.685196
14.778939,8,93.789072
17.142683,5,93.855624
18.362448,6,93.933565
18.242901,10,94.065282
13.17527,10,94.19605
26.607488,16,94.409539
18.833312,16,105.853509
18.104507,6,105.935992
19.159398,14,106.125293
19.379733,11,106.27167
18.187129,6,106.35114
15.685335,21,117.665549
18.760816,9,117.784069
21.226971,11,117.929983
17.127835,8,118.037896
19.008358,11,118.185743
18.682584,11,118.328961
30.226324,27,130.021713
17.242894,8,130.129218
19.072935,11,130.276281
21.602434,13,130.445498
48.219474,36,149.672564
12.557763,8,149.775849
53.085898,43,161.637579
25.163624,15,161.831298
32.777889,24,162.143963
12.744521,25,176.425514
25.717649,18,176.689396
38.512093,26,177.113603
20.697573,10,191.412247
58.88354,41,191.985678
26.394244,19,192.255954
63.028288,46,206.193534
52.206714,32,219.948786
21.287699,10,220.094623
45.960381,32,220.535584
51.877475,41,235.744305
57.141471,47,249.495693
37.667723,42,250.087187
52.851026,40,263.360695
64.602518,48,276.914545
57.824041,45,277.515063
67.728766,44,301.036161
63.204579,42,313.464931
60.269616,36,313.955652
65.31238,42,325.937044
74.14699,47,338.132326
23.228798,24,338.459336
69.875588,43,350.633461
68.776893,51,362.706237
68.91756,46,363.320048
61.442765,37,375.504118
67.468378,42,387.658973
63.084196,40,388.198506
61.672026,45,400.299848
65.892158,43,412.321346
63.062826,37,412.822293
60.029461,46,433.236906
78.112631,49,445.498463
64.775488,48,446.136796
68.482745,44,458.21561
58.603438,47,470.217601
74.763087,48,482.515207
80.659473,63,483.378085
64.631771,49,495.601528
87.977326,67,508.118965
64.315958,51,520.491378
87.292193,59,533.128171
67.690175,42,544.951912
71.070588,48,545.588962
71.936584,56,566.702048
71.717837,55,579.233717
91.808724,62,592.038925
64.796095,45,603.987293
93.427899,65,616.434957
75.125374,59,628.95002
76.438499,53,641.462053
72.810896,57,642.221616
73.21677,51,654.883831
93.707372,64,667.563858
95.668696,66,679.961231
78.42454,52,701.692172
86.994114,63,714.097379
84.761144,67,726.358961
96.432407,65,738.719899
89.648803,65,751.260716
92.233066,64,763.542541
109.665873,69,776.012099
81.476306,61,788.105444
90.930708,66,800.658141
103.070418,67,813.094064
92.249463,68,836.37616
99.142317,67,848.954822
105.674698,74,873.394103
94.158047,68,886.142425
97.939647,69,898.752719
116.177859,74,911.467003
103.926422,72,924.208323
101.575362,68,937.123233
115.647235,73,949.952274
88.35945,60,970.703993
94.337014,65,983.098949
107.651085,68,995.82712
108.501811,68,1008.465813
103.08074,67,1020.858785
101.350624,65,1033.189917
125.722784,79,1057.73737
110.952335,74,1070.300797
98.899351,68,1083.185294
116.324609,78,1104.31659
115.306478,81,1116.806408
102.30298,68,1129.156394
115.39419,77,1153.430763
122.939345,79,1166.121727
114.796173,77,1178.960499
120.226858,75,1191.527732
114.957198,75,1205.500794
115.72116,73,1218.806935
127.456897,80,1252.566432
113.117129,72,1266.940412
115.055122,73,1280.199043
115.163622,74,1293.373518
128.023902,81,1307.099329
121.557286,81,1332.967579
123.37832,75,1345.209293
129.304299,85,1359.323871
112.510574,77,1382.169648
117.37591,78,1408.007558
111.583453,79,1420.934987
95.890515,68,1434.574608
123.257544,80,1448.13409
128.401863,87,1461.304672
136.416687,88,1485.249048
115.315547,83,1498.114431
115.908961,76,1520.385977
122.891059,82,1547.045562
122.883873,78,1560.660489
132.653057,85,1573.88526
119.779382,81,1587.254234
115.860659,72,1612.618502
126.312893,81,1626.294916
134.435297,85,1640.413538
107.185147,76,1664.658401
