# {"t_start": 1639658002.5830517, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
8.542511,6,2.854071
14.179732,6,2.927761
16.337534,15,3.107568
9.927233,16,3.302583
16.197997,11,3.430904
1.500942,10,3.550718
15.296587,10,22.612264
18.150471,7,22.695315
17.897711,9,22.803979
3.166468,17,23.008922
15.852753,10,23.129085
18.099202,11,23.26142
9.122763,10,34.402967
4.237332,11,34.542602
-1.641815,11,34.687759
18.988704,12,34.84104
9.940238,9,34.956747
15.196698,17,46.221739
14.079287,8,46.327847
17.653811,10,46.461409
14.793081,8,46.568403
15.344706,6,46.649216
19.958275,10,46.779959
11.569998,5,46.845067
14.811754,7,46.937271
23.167259,15,58.207927
18.063512,8,58.31276
10.713129,7,58.406147
13.275504,5,58.471338
15.234031,7,58.564267
14.388734,9,58.687154
16.613615,16,58.901359
4.506902,13,70.014508
21.405563,10,70.145775
12.951017,11,70.289871
14.904071,5,70.354832
18.202757,7,70.445977
14.69374,5,70.51221
10.683287,9,70.628752
17.955466,15,81.740468
16.491152,13,81.910481
14.842826,9,82.028129
15.840669,7,82.122921
14.801823,5,82.189336
18.64566,10,82.321455
15.987256,7,82.414062
19.027189,10,93.844847
16.981182,8,93.949395
18.164783,9,94.067533
18.29546,8,94.172479
18.875358,12,94.330156
20.016541,8,94.437057
18.831129,8,94.543301
16.192709,5,105.837011
16.185286,9,105.959705
14.366708,10,106.096685
18.343977,8,106.204087
20.169825,11,106.352585
18.727936,16,106.565267
17.27665,6,106.644878
21.794453,12,117.839376
15.586159,12,117.99761
18.564588,9,118.118836
19.463667,9,118.23945
17.02346,8,118.346134
24.276215,19,129.930205
32.711874,24,130.249878
31.524235,18,130.489706
36.868364,25,149.571172
28.328062,17,149.794282
19.422458,8,149.896095
28.794594,23,150.197943
27.552876,16,161.706298
49.607057,34,162.146254
26.882016,15,162.342439
26.058859,15,176.490198
22.331123,15,176.705773
19.326125,12,176.880748
62.140589,43,191.698564
34.660374,31,192.132787
44.342945,30,205.874792
29.630748,18,206.116758
50.116586,30,206.510467
50.638516,33,220.299226
42.875405,33,220.748593
42.798289,29,235.793863
65.687463,41,236.367327
49.98408,32,249.907612
47.686088,31,250.344863
53.885575,35,263.548308
58.863173,41,277.003311
56.116931,54,300.658807
56.047887,38,301.169242
74.318149,51,313.723301
48.516936,38,314.238775
52.543634,35,326.124184
71.273984,49,338.348392
64.722901,41,338.905683
59.434213,41,351.047594
64.40629,40,362.974534
75.450509,50,363.636603
66.251942,43,375.910579
66.307233,46,388.117182
63.661169,51,400.297759
72.487342,47,400.92811
67.456218,44,412.969322
62.482404,37,433.262038
60.329053,43,433.845022
72.851048,45,446.044107
74.85806,45,458.131951
70.954485,45,458.744786
65.276775,41,470.664849
66.10065,41,482.868691
70.170496,49,495.096134
79.342156,54,495.82892
69.591255,46,508.065795
67.167144,51,520.436435
70.223143,55,533.01866
80.58506,58,545.058212
67.6345,53,545.76484
65.355763,51,566.807947
89.719575,62,579.434237
73.146088,47,592.03756
89.689249,65,604.255985
88.281162,59,616.622954
82.745949,58,629.124707
72.61678,52,641.622849
102.996701,73,654.579105
69.740628,52,667.095987
89.779063,57,667.860428
77.382377,52,680.069022
93.27184,57,701.866278
85.50647,56,714.178564
87.138459,56,726.294396
88.010769,64,738.639453
95.514006,61,751.128459
100.290126,65,763.422089
96.987467,63,775.804052
94.891278,66,787.971083
76.973144,62,800.469673
100.353766,66,812.893004
105.27752,67,836.162379
99.865658,62,848.67623
102.574691,65,861.291288
91.92294,58,873.790894
94.105507,61,886.424643
117.079951,75,899.113216
111.846771,73,911.818632
97.481507,65,924.463015
91.088471,61,937.283237
107.694213,73,950.112696
101.696453,65,970.931385
95.926078,63,983.300893
115.779754,72,996.083248
127.005553,82,1020.399157
113.228885,70,1032.802028
103.731796,68,1045.560371
105.814352,72,1058.167969
120.466191,76,1070.761005
112.954358,79,1083.790368
105.368847,69,1104.795673
119.167521,76,1128.678247
116.40808,73,1141.224572
113.615396,73,1153.857383
108.783375,70,1166.431595
108.75289,71,1179.188292
120.834924,76,1191.765298
112.968964,71,1205.687868
133.390696,81,1239.561337
120.856341,75,1252.799666
112.308687,69,1267.127412
107.839186,77,1280.447595
104.730307,68,1293.533179
123.315349,80,1307.246465
120.792767,81,1333.114794
122.074155,81,1345.436369
120.190071,83,1359.525821
122.792297,79,1382.407964
116.897952,75,1408.196305
101.78234,72,1421.028033
106.44953,74,1434.749059
108.684895,76,1448.253128
129.076836,81,1461.343331
129.568974,80,1485.179336
125.384531,80,1497.996963
124.834992,81,1520.339535
124.914113,81,1534.543381
131.146721,85,1560.699912
129.277273,89,1573.98035
125.032862,82,1587.362345
124.583927,81,1612.844795
111.224646,81,1626.527741
106.0773,73,1640.47641
120.351629,85,1664.858979
