# {"t_start": 1639658004.5343385, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
3.1121,8,0.933053
9.940921,11,1.06127
20.301106,11,1.197022
12.725328,7,1.277773
15.912789,20,1.519548
17.910881,17,20.666413
14.128754,8,20.761555
4.05659,9,20.870234
4.635348,13,21.024258
16.373337,7,21.111732
13.936086,9,21.21831
19.558482,18,32.457855
14.240945,12,32.609563
21.05942,14,32.792429
2.598431,11,32.93664
7.224766,6,33.011962
14.602595,5,33.077368
17.345975,6,33.153939
17.15842,7,44.289904
12.440969,15,44.489469
8.200029,7,44.582055
14.294173,12,44.745059
14.564673,6,44.821837
16.216163,13,44.995166
18.847869,9,56.18072
17.744316,8,56.290407
11.692266,8,56.395322
12.353168,11,56.539757
15.029153,6,56.620606
10.885484,6,56.704081
11.550025,7,56.796978
13.518689,5,56.86327
18.788331,9,67.927952
12.845385,7,68.016933
18.726562,7,68.109349
13.785555,6,68.18638
12.984403,7,68.279814
12.599923,7,68.370247
13.58757,9,68.487998
11.605964,8,68.593032
16.991358,12,68.748126
16.317889,7,79.755527
16.222465,8,79.860649
17.069856,8,79.965724
16.408376,10,80.097171
17.062469,10,80.230815
16.952186,9,80.349205
17.363057,7,80.442969
16.748771,9,91.861006
17.994887,7,91.954644
13.971049,10,92.082547
16.588031,10,92.213549
16.565391,8,92.319776
17.887136,7,92.412765
16.436468,8,92.518351
21.178695,13,103.91879
25.42075,17,104.151954
15.35193,12,104.315112
17.089577,7,104.407948
22.554965,18,104.649622
25.613601,18,115.922405
23.014386,18,116.160707
21.10219,12,116.319542
23.180295,14,116.505106
21.365633,9,116.621835
30.416971,22,128.252235
22.17739,13,128.424727
16.913335,7,128.51856
29.515038,15,128.71399
28.930835,19,147.718647
15.415218,8,147.823359
25.507853,15,148.016648
18.7438,9,148.134081
19.034066,9,148.251727
18.891198,9,148.371355
17.564926,14,159.850835
20.21817,11,159.996206
41.076977,32,160.409129
24.78538,13,174.532394
24.339464,14,174.733436
44.142153,46,175.462828
63.791195,47,190.25934
56.431772,35,204.06423
22.366818,22,204.356286
54.511795,44,218.283456
62.751022,51,233.62226
55.570933,38,234.150508
60.512116,37,247.7715
51.223891,39,248.3158
60.40002,38,261.562732
25.99026,17,261.784026
52.795866,37,275.201675
66.066475,43,275.773707
70.017332,52,299.402223
70.434809,46,311.888098
59.387651,42,323.869798
79.146741,55,336.173464
61.197764,52,336.879575
56.55284,34,348.93016
72.936686,50,360.991104
63.30941,40,361.521579
71.382133,47,373.843889
74.567588,50,386.103765
65.197685,41,386.659395
73.666275,47,398.785578
60.40181,38,410.741688
74.963291,47,431.166934
71.494043,44,431.766051
64.671389,41,443.911623
62.009128,40,444.446379
73.674096,51,456.623391
69.276485,42,468.557095
66.531233,42,480.773221
75.290526,58,481.568386
73.216719,49,493.790852
68.288544,44,506.001599
82.602427,58,518.465093
73.8988,50,530.979951
65.318529,53,531.696735
62.824784,48,543.592641
83.115692,57,564.716624
81.327615,56,577.263087
77.03373,53,589.942617
72.045088,44,590.530013
83.77638,61,602.70522
84.582553,61,615.096842
72.979222,52,627.511312
75.6156,55,640.0508
75.146527,47,652.661921
65.802083,52,665.178813
89.53149,64,677.550352
81.630983,57,678.309036
84.58787,58,700.127365
76.762251,55,712.419724
87.773281,55,724.521899
83.328896,57,736.776476
96.332818,66,749.33007
81.631612,60,761.557458
95.995615,62,773.927295
104.343774,70,786.147347
112.403789,74,798.806923
99.668108,63,811.189157
90.768751,64,834.418843
96.676235,69,847.024324
108.97366,69,859.697569
91.54182,65,872.292885
88.851985,60,884.911131
105.997656,67,897.493494
99.697591,67,910.118965
119.58942,78,934.931594
129.065111,84,947.917696
96.895554,67,968.755215
105.119959,68,981.194754
102.698861,70,993.948306
110.568407,75,1006.681447
107.055714,70,1019.114766
102.511372,66,1031.459246
108.035469,70,1055.887352
129.244775,81,1068.544996
98.684546,74,1081.509455
114.256686,76,1102.613127
119.120298,77,1115.047609
114.963609,73,1127.459264
108.004899,70,1151.646322
110.081975,71,1164.229406
112.620814,71,1176.986604
104.669361,71,1189.50368
107.245108,71,1203.419243
103.765078,69,1216.679036
114.916699,74,1238.132266
107.349129,70,1251.30055
107.669289,70,1265.639833
117.083251,81,1291.177435
108.45882,72,1304.779895
113.448286,75,1318.25458
116.33005,78,1331.625153
133.131135,86,1356.979546
114.021084,72,1379.765549
110.621062,80,1393.259001
94.009218,69,1406.557511
133.218751,83,1419.540379
110.495334,83,1445.864727
124.702307,89,1459.057336
130.08785,82,1471.502853
121.524804,82,1495.77223
119.619136,76,1518.047546
117.215655,81,1532.24319
128.700023,83,1545.812699
115.575279,74,1559.382237
113.098038,75,1584.753287
115.915614,76,1598.169026
114.381146,72,1611.129183
128.15995,85,1624.866372
109.662536,80,1662.002698
