# {"t_start": 1639658002.4868388, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
12.548369,9,2.9901
5.816319,14,3.155653
9.040378,12,3.302397
10.941085,7,3.382243
9.123871,6,3.460698
13.408413,11,3.585715
16.602013,7,22.60907
3.443868,11,22.743762
5.328951,19,22.972153
18.796315,7,23.056718
3.633871,9,23.16605
15.011447,5,23.225334
10.808422,7,23.31056
14.900366,7,34.410939
16.191383,9,34.524902
15.368438,13,34.690384
10.917796,10,34.82255
11.464793,13,34.989192
13.054846,5,35.052954
19.699583,18,46.331362
15.929008,17,46.557433
10.507543,7,46.650899
26.690904,29,47.033247
19.629898,13,58.276231
14.147622,18,58.514955
13.022553,16,58.729428
23.216474,28,70.044638
17.417805,6,70.12411
14.768466,5,70.189554
9.64039,9,70.307537
19.910052,7,70.399195
12.859099,7,70.490615
17.928555,7,70.582179
20.367874,15,70.777783
16.264354,7,81.783071
15.573594,7,81.876183
20.258138,10,82.006464
17.90326,11,82.150884
16.525468,6,82.232713
22.994283,19,82.484155
16.125728,8,93.888974
13.586609,8,93.99303
18.443227,9,94.11188
26.050123,17,94.333074
17.871475,10,94.465978
17.98843,9,94.585693
25.66554,20,106.083711
22.329873,11,106.232492
17.227514,9,106.355505
16.448632,6,106.435168
24.71801,17,106.661389
17.79283,8,106.767939
22.477984,12,117.962621
21.409421,11,118.106401
17.635732,10,118.241812
12.89661,7,118.33546
26.531433,17,118.558933
15.465468,9,130.014493
16.005636,6,130.094551
27.570323,21,130.372391
17.685295,9,130.492729
24.535632,19,130.741031
15.835633,8,130.845434
15.544512,12,149.76035
29.780669,20,150.019228
17.908619,11,150.161971
26.408626,19,150.412044
41.347404,38,162.203746
27.092253,21,162.476854
62.083217,45,177.056533
46.491879,40,191.836594
38.862895,28,192.228043
35.335364,27,205.930559
53.093506,37,206.423813
69.404137,53,220.481728
43.118367,41,235.676809
51.940075,32,236.120733
59.173656,48,249.898149
41.567791,33,250.356464
62.120206,44,263.682858
27.515561,15,263.875725
68.721117,45,277.404459
70.91167,44,300.919103
73.096294,48,301.563418
67.251136,43,314.008678
68.256715,46,326.043616
66.243538,42,326.613165
60.514788,38,338.689373
64.473013,40,350.823638
64.28778,41,351.369632
75.559085,49,363.420683
70.284828,45,375.706167
60.18861,41,376.261314
77.567436,49,388.508707
72.820159,48,400.650362
68.752271,42,412.660207
42.56199,35,413.132435
70.906234,43,433.506366
55.010138,34,433.96883
71.18873,45,446.166959
75.283577,46,458.268835
77.962658,59,470.434777
77.312431,51,482.771704
57.367352,40,483.320822
68.246411,45,495.489825
62.217844,45,507.716397
76.905034,51,508.400636
74.797327,52,520.788726
75.219498,63,533.478728
73.899556,52,545.434881
82.143868,60,566.593141
73.408261,53,579.102883
88.119897,56,591.819418
83.524862,55,592.556811
76.776459,53,604.620587
78.292159,55,616.935604
77.650254,55,629.393265
76.393564,49,641.852829
73.601247,47,654.461904
87.866888,63,655.300821
77.372406,60,667.929669
77.496696,59,680.231032
73.99713,56,702.016768
88.490062,68,714.487708
85.077815,58,726.628305
85.733101,52,738.816515
79.254094,55,751.22466
97.122502,68,763.557954
88.801793,58,775.872756
97.938629,64,788.01281
102.16796,65,800.552178
108.145862,66,812.976928
94.904387,63,836.191227
95.628381,66,848.758877
110.181546,73,861.481481
108.687725,67,874.106791
98.830155,69,886.84575
94.948337,65,899.400444
89.485813,61,911.942253
84.461589,63,924.559159
125.429711,82,937.658617
106.509331,65,950.381747
126.830552,79,982.916924
103.375851,73,995.706213
92.282581,68,1008.346828
97.306581,72,1020.804816
113.193928,77,1033.297781
115.478487,74,1046.144259
120.075482,76,1070.370425
118.220717,76,1083.361562
109.214852,74,1104.439174
119.788281,77,1116.879286
110.369901,77,1129.347064
121.988331,82,1153.687066
119.282237,79,1166.378359
106.400466,73,1179.163594
115.616246,77,1191.757057
124.786863,81,1205.80982
105.184726,69,1219.062808
84.831604,61,1240.34986
119.84644,74,1266.968451
121.347376,78,1280.273692
131.28653,82,1293.576027
123.115765,78,1307.26268
121.235852,81,1333.130251
117.655902,78,1345.412373
116.355548,73,1359.369207
133.935664,85,1382.316888
125.64548,82,1408.208668
115.519065,76,1421.096891
118.375875,76,1434.845213
108.880961,79,1448.390031
123.458953,78,1461.439335
138.984744,92,1485.438882
121.094662,81,1498.274729
129.352218,84,1520.657419
116.995486,79,1547.275496
122.979392,83,1560.956474
128.365049,79,1574.10342
129.230147,85,1587.523467
121.202585,81,1613.007394
134.641637,91,1626.829933
127.905444,82,1640.905516
