# {"t_start": 1639658002.6583407, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
9.393801,6,2.778842
12.091052,10,2.899508
14.168562,13,3.056678
16.84044,7,3.139196
10.401892,12,3.287366
15.250971,7,3.366917
8.459048,15,22.486463
16.336824,13,22.644108
16.139458,10,22.765922
15.555831,19,22.993393
11.97994,11,23.124784
15.627325,10,34.26547
15.965197,9,34.377849
6.893128,6,34.45379
-9.50568,9,34.572151
16.52804,21,34.844068
12.994663,12,34.998108
16.889692,15,46.239192
10.770317,7,46.332721
20.179997,11,46.479362
13.221459,9,46.600464
11.045056,19,46.848976
17.287177,10,58.05048
19.608915,13,58.22479
12.124141,5,58.290341
15.299983,8,58.396029
15.525842,11,58.54379
15.184959,8,58.652638
12.174853,5,58.720146
15.160614,5,58.786325
14.406841,8,69.835372
13.805916,9,69.952892
10.731393,6,70.030618
12.283517,22,70.319235
18.499047,7,70.41077
12.445072,8,70.515664
18.233903,14,81.611699
14.057359,10,81.743279
21.295147,13,81.913701
13.431133,7,82.00704
23.530558,14,82.193961
13.776692,5,82.259227
18.485296,8,82.365129
14.135742,6,93.743733
18.568943,9,93.861059
17.209207,8,93.967014
15.709978,7,94.057494
18.370064,10,94.187673
17.467788,7,94.281617
17.860054,7,94.374921
16.426034,9,94.494581
17.350677,8,105.82842
14.310025,7,105.925562
32.827124,41,106.47628
19.902232,8,106.58338
16.224408,6,117.696596
18.469495,7,117.791422
19.906016,10,117.922319
18.714357,10,118.057689
14.088312,8,118.164165
17.231404,12,118.322784
19.059616,8,118.426863
17.245532,7,129.854909
19.32753,18,130.093645
22.572156,15,130.29341
20.259803,9,130.414595
20.806787,8,130.517518
26.508067,20,149.535718
22.341356,16,149.744446
16.652041,23,150.043231
28.385597,21,161.617543
17.365991,10,161.747143
27.384742,17,161.966089
29.576324,17,162.190065
22.518903,16,162.396757
45.554948,31,176.792096
35.474917,24,177.185521
55.069596,42,191.934995
26.495426,22,192.244522
21.379896,14,205.759198
54.496627,34,206.212733
45.585661,29,219.911852
51.876353,33,220.395768
51.885103,32,235.462978
54.061034,36,235.962334
53.356656,33,249.527881
55.700796,45,250.15924
52.309853,37,263.392972
58.456078,44,276.885456
70.120584,50,277.558536
57.583525,34,300.94628
65.225589,40,313.349321
58.514884,37,313.8508
63.282167,41,325.818799
68.386509,50,338.055976
77.115389,49,338.721577
77.77039,47,350.946145
67.642144,45,362.941712
55.535801,36,363.418444
62.233099,36,375.590618
76.190645,50,387.855036
69.744911,47,388.487431
69.006463,43,400.558921
57.073993,46,412.624349
84.775016,54,433.145213
69.927171,51,433.838244
76.87669,51,446.11586
71.949631,48,458.247095
64.354042,46,470.236351
69.000285,48,470.888484
67.041683,43,483.121316
64.399943,53,495.398885
81.010736,55,507.760163
67.936696,48,520.089231
81.242932,58,520.873014
79.013638,58,533.494522
81.734778,54,545.475161
73.385855,54,566.558283
74.033517,47,578.984928
83.022016,57,591.71722
72.038231,58,603.847661
84.235123,60,616.227091
85.529368,62,617.060952
82.086874,52,629.471532
83.954539,63,642.122602
70.081123,55,654.836652
86.906081,66,667.541657
86.535462,61,679.873201
84.424212,64,701.764039
95.16303,64,714.183459
82.378967,62,726.379068
90.667662,56,738.618372
88.214685,59,751.08077
101.014558,68,763.413676
93.100148,65,775.824018
96.85754,65,787.976061
89.729162,63,800.4879
103.980586,71,812.978696
108.387041,75,836.354847
94.406671,61,848.856081
96.098892,61,861.418933
90.09952,64,874.001976
106.655074,69,886.740205
96.992256,69,899.350102
112.296153,72,912.041599
107.535587,72,936.77424
108.695924,72,949.599888
94.627203,67,970.435297
102.531858,66,982.849977
104.067314,71,995.616405
108.436912,75,1008.350574
110.001408,74,1020.836665
108.474638,69,1033.222088
114.811234,72,1046.041411
99.685371,67,1058.578121
111.210398,70,1083.053423
110.687733,72,1104.110594
118.42274,77,1116.549256
111.481599,77,1129.019069
107.974701,72,1141.561814
102.985192,69,1154.146557
106.511512,73,1166.761406
109.069044,74,1191.124068
118.88753,77,1205.11136
115.605918,74,1218.441113
121.268851,80,1239.97449
124.812406,79,1253.265901
98.909244,68,1267.582242
113.561972,73,1293.003945
118.48296,78,1306.693197
104.651031,74,1320.15122
120.343456,79,1333.534296
128.729434,80,1345.8424
129.761629,85,1381.768638
123.446427,79,1395.258223
123.319855,77,1408.653477
110.6931,77,1421.55908
116.378527,80,1447.840147
126.220535,78,1460.885281
114.97659,81,1473.318338
117.262228,80,1485.816447
109.305137,71,1519.770825
117.616139,79,1533.933649
97.43077,71,1547.343399
107.832277,75,1560.920565
93.444104,75,1574.010571
114.593587,83,1599.806023
123.746006,79,1612.862397
125.462237,83,1626.578661
126.762263,82,1640.652276
105.813,72,1664.872401
