# {"t_start": 1639658003.6573741, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
5.967769,7,1.80028
10.934724,7,1.883238
14.924784,8,1.978766
15.678699,19,2.207069
15.394978,13,2.361502
7.798803,7,2.442616
11.479704,9,21.490407
15.853098,9,21.60006
11.820991,9,21.709007
13.479599,10,21.82751
12.974319,9,21.938089
2.080189,11,22.068551
12.040423,8,22.165405
13.113771,6,33.257327
13.282384,11,33.395414
8.357779,17,33.620715
9.870486,8,33.719907
10.727006,11,33.860862
3.282885,19,45.151356
15.597554,6,45.230731
11.057383,7,45.324245
15.60118,8,45.430374
16.084141,7,45.525019
11.867093,10,45.657058
15.893631,7,45.74958
15.864716,12,45.909747
11.810725,12,57.137604
17.23984,12,57.295559
13.205972,5,57.361939
10.459489,5,57.428144
11.822715,5,57.493889
18.335545,7,57.589082
12.379382,10,57.724935
9.718937,7,57.817906
10.030194,5,68.828744
15.108142,6,68.904795
21.414153,12,69.062191
18.918266,9,69.179595
23.107071,17,69.40231
22.727443,19,80.562989
15.990737,6,80.643242
18.250516,13,80.813682
12.498918,7,80.905851
19.404659,8,81.011439
18.036822,8,81.118437
21.12029,12,81.277219
20.827696,10,92.708653
18.605782,12,92.865679
15.051438,6,92.945806
19.389996,11,93.088324
16.364751,12,93.246376
20.036289,7,93.339126
20.427639,9,93.458208
19.966292,9,104.806216
21.283575,10,104.944443
17.629955,11,105.093406
20.82396,11,105.242361
19.493013,9,105.361839
16.95262,9,105.480866
20.527501,13,116.687951
18.178169,10,116.826467
19.642507,8,116.927408
22.749648,29,117.314808
22.175393,12,117.469705
18.908916,7,128.901014
14.960637,11,129.049843
30.616992,18,129.284422
29.345488,21,129.561754
33.381068,24,148.630266
20.28928,8,148.736187
54.129024,36,149.206305
32.163712,19,160.751885
31.983665,22,161.036659
40.358833,25,161.361839
19.800466,12,175.473814
23.107571,12,175.651553
24.098072,39,176.265455
29.427243,22,190.726441
63.046261,44,191.345329
43.735081,27,205.033166
36.725832,25,205.360494
54.603367,44,219.298921
50.027774,51,234.641842
47.337246,37,235.154242
50.220265,33,248.718289
63.271042,50,262.147321
56.755964,44,262.721869
65.841453,41,276.197668
66.830414,41,299.670393
64.921934,44,300.262715
77.46613,54,312.855511
65.256225,45,324.877703
69.434036,49,337.1018
72.360121,48,337.754403
69.07069,44,349.939133
60.866695,36,361.810408
69.580227,49,362.460709
64.45153,42,374.71817
61.489763,42,386.871897
60.115672,39,387.397435
76.506639,54,399.618474
67.320064,44,411.65421
60.457364,41,412.211024
73.461938,49,432.667258
68.865944,47,444.893719
61.751175,39,456.901698
75.131971,55,457.647194
70.758027,45,469.621347
79.103814,50,481.949042
69.249181,46,494.132948
74.970005,47,494.77318
75.934538,49,507.048132
80.25987,51,519.419374
70.555681,48,531.908522
67.452362,49,532.569336
75.450128,50,544.493662
57.251955,46,565.466097
84.332251,59,578.057407
77.480104,52,590.72274
84.199215,54,602.80039
79.263585,60,603.605677
75.555398,56,615.930465
83.674748,59,628.436732
84.848849,59,641.033063
97.325958,69,653.934351
84.601228,61,666.572182
76.153033,56,678.838972
86.927531,66,700.755654
87.483428,61,713.134551
91.239128,63,725.342335
85.558614,58,737.609022
90.206781,67,750.177571
115.66832,75,762.60649
94.116316,65,775.021343
90.817559,59,787.088373
95.353412,66,799.640012
107.072343,67,812.078274
107.761439,65,835.31981
93.022655,65,847.873303
96.682648,69,860.544545
102.612577,70,873.205979
107.817299,69,885.943365
109.152597,68,910.256149
90.561951,63,922.882399
98.361003,71,935.832935
95.918378,64,948.553128
110.39502,71,969.437963
113.528878,72,981.935088
121.097909,78,994.794927
106.523866,70,1007.462025
95.709951,74,1019.948889
118.700536,74,1032.400613
110.404864,71,1056.84108
104.291607,69,1069.337523
107.03121,66,1082.19502
110.497411,72,1103.246271
118.642949,75,1115.660318
105.146036,68,1128.010958
115.929911,77,1140.620166
121.390049,78,1153.328403
125.468197,80,1177.833215
104.056231,68,1190.311294
113.221101,71,1204.225997
122.426098,80,1217.633082
115.713034,76,1239.115442
120.613913,79,1265.802339
127.77729,82,1279.175334
115.860768,79,1292.423316
104.598468,71,1306.013048
117.716214,80,1319.541496
108.292847,74,1344.097439
116.517268,73,1358.05095
132.54618,82,1380.960358
128.011616,84,1394.519675
101.305636,68,1407.792472
127.062356,83,1433.502733
104.963925,73,1446.966396
102.387428,75,1459.972898
113.937289,75,1472.323245
130.052965,83,1484.860953
122.464607,81,1518.946762
135.401588,85,1533.201268
125.831769,85,1546.795441
128.977558,89,1572.638108
133.173859,87,1586.09227
133.291679,86,1611.642019
113.594857,80,1625.30216
120.070495,77,1639.307625
117.900769,79,1663.533957
