# {"t_start": 1639658002.9452329, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
11.783432,8,2.518264
10.807686,10,2.641813
12.928115,9,2.745205
11.087085,20,2.98495
24.77771,24,22.21232
-1.666846,11,22.345232
11.44159,9,22.454577
14.448604,11,22.585132
6.495422,19,22.816099
12.233246,5,22.874094
14.969691,10,34.016937
12.905137,5,34.079662
12.65716,5,34.142744
22.332035,21,34.415978
15.841756,10,34.545251
12.835932,6,34.621552
10.91788,15,45.860842
10.909058,5,45.927104
14.632679,10,46.059958
16.117135,10,46.193849
7.079267,11,46.340682
16.134205,7,46.43214
17.025099,9,46.549747
13.457271,5,46.616046
17.156305,8,57.793113
16.095748,9,57.91258
15.262521,7,58.004895
13.886765,8,58.110102
14.460125,6,58.190218
19.928481,10,58.326207
16.653405,10,58.460929
10.421439,17,69.627654
17.604734,14,69.810888
13.862747,7,69.902853
18.239966,11,70.046523
30.346073,25,81.285825
15.236955,6,81.366227
20.465216,12,81.522709
16.15813,11,81.66703
18.126294,9,81.788298
17.227033,7,81.881298
17.849913,6,81.960324
19.102292,9,82.079504
17.096381,7,93.471472
12.990536,5,93.535956
22.984378,13,93.706486
35.660464,25,94.036559
17.291414,8,94.142705
17.823772,6,94.222019
20.051165,12,105.612657
20.655122,9,105.735724
22.06082,12,105.898346
17.491447,9,106.019019
16.93285,6,106.097282
16.344588,6,106.176931
22.585017,13,117.383207
27.666429,17,117.610938
18.243625,11,117.758012
23.795227,14,117.944359
24.651177,17,118.167658
25.794863,18,129.74403
23.171074,13,129.915139
35.756378,23,130.218964
23.358293,16,149.18382
44.218733,30,149.57436
27.869416,17,149.798321
30.364319,16,161.306666
21.312434,28,161.668247
50.297228,37,176.101669
31.285104,20,176.389328
45.812593,36,176.957677
42.852207,28,191.5086
27.179437,23,191.829946
19.64611,8,191.944555
42.914844,27,205.635826
37.667518,24,205.953317
51.783794,35,219.748721
52.246152,40,220.307976
46.641684,32,235.391596
53.516047,34,235.863181
61.08642,43,249.560465
62.906923,42,262.883876
59.648754,40,263.405943
54.714564,36,276.810551
59.393189,39,277.329528
45.219286,29,300.650161
65.361456,43,313.090769
54.87094,43,313.674457
69.978174,46,325.70942
68.849593,45,337.878599
76.107799,47,338.517749
63.14135,45,350.713374
69.836632,44,362.696598
68.681366,45,374.980555
58.74381,36,375.466015
74.177327,46,387.674405
71.663213,44,388.267889
73.692055,45,400.367959
64.001782,49,412.472591
73.48916,47,432.90104
71.244165,53,445.217569
63.717296,41,445.764877
74.844638,47,457.880051
59.902523,47,469.88429
67.025828,53,470.60249
65.189108,40,482.796353
73.630831,47,494.993043
70.857225,48,507.259217
68.512403,49,507.918373
67.70856,42,520.170038
71.08231,50,532.685274
70.582623,51,544.629058
77.524059,50,545.295554
65.792197,49,566.313125
69.214755,47,578.741634
81.383587,59,591.498667
81.82218,53,603.561937
88.579191,60,615.941168
79.755165,55,616.679721
89.378252,57,629.160119
87.988672,62,641.797035
74.29489,54,654.498021
76.798493,60,667.121649
95.425345,66,679.52181
90.196862,59,701.343181
87.32466,66,713.79101
88.579364,62,725.986117
92.528284,58,738.251571
108.599014,74,750.912987
94.642003,65,763.208015
88.016673,63,775.59255
96.345703,64,787.730643
98.226662,67,800.296182
103.451013,66,812.719738
89.660411,61,835.90813
94.032222,60,848.397371
92.319075,70,861.078888
106.313231,73,873.783142
99.7022,66,886.48048
95.854566,61,898.983461
96.794343,68,911.618917
93.325347,67,924.290436
108.354276,68,937.201676
104.569844,70,949.997411
107.506073,69,982.390682
107.927386,71,995.15277
108.019517,67,1007.781469
107.446982,68,1020.187809
108.451315,73,1032.627437
112.620096,70,1045.416278
126.733544,77,1058.090714
104.446437,69,1070.586602
106.261842,68,1083.468035
108.215811,70,1104.49472
114.594009,76,1128.3681
119.236772,76,1140.957144
120.875798,80,1153.687566
99.286439,68,1166.232433
115.991678,76,1179.054489
114.33455,77,1204.609643
96.936223,66,1217.832038
120.689085,81,1239.375381
120.062249,80,1252.682563
117.125586,77,1267.11477
121.588144,77,1280.449372
119.731522,78,1306.283295
117.76367,77,1319.786303
113.23133,73,1333.087902
133.181786,87,1345.489795
109.857438,75,1381.278553
125.523781,82,1394.802845
92.862803,65,1408.049043
115.332119,82,1421.020635
115.469675,75,1434.751134
109.582569,74,1448.229959
122.742478,82,1472.669858
115.373931,75,1485.102314
116.718213,78,1497.900638
130.534849,83,1520.293653
113.38924,80,1546.897983
120.387777,83,1560.580611
122.663681,86,1573.819795
123.460686,81,1599.58913
114.150626,78,1612.631697
121.381319,78,1626.278947
119.904865,81,1640.338627
