# {"t_start": 1639658004.0494685, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
1.042547,7,1.401677
12.238457,11,1.537019
11.351389,9,1.6429
10.535912,9,1.751758
7.204068,12,1.895926
9.910251,13,2.050869
7.06084,11,21.126143
14.653821,15,21.305126
9.85996,7,21.390072
10.955097,15,21.571155
12.263952,12,21.714819
13.238095,20,32.97786
17.07418,8,33.081745
16.321987,10,33.214834
15.070556,8,33.314504
13.209438,7,33.404667
8.881852,5,33.470165
10.07688,15,44.707517
12.220238,7,44.800816
11.428127,8,44.907442
6.483883,9,45.028322
14.473864,11,45.174356
10.657001,12,45.33228
13.710357,14,45.516061
13.999116,6,56.664322
14.602999,7,56.759291
11.879236,8,56.865025
13.130446,12,57.023109
19.515288,19,57.280468
5.905,10,57.414274
17.032899,7,68.450537
12.150806,5,68.515439
10.541169,5,68.579013
16.924384,8,68.684868
17.511898,10,68.815773
13.211521,8,68.919523
16.049802,13,69.092014
20.046569,14,80.187101
20.196977,7,80.27907
22.966794,15,80.474344
16.157633,10,80.606264
20.640674,14,80.794683
15.312142,8,80.899453
16.196712,6,80.981702
16.775655,6,92.358347
12.86576,6,92.435327
18.756072,8,92.541839
18.141263,7,92.63194
15.201651,5,92.697606
15.550973,6,92.775553
15.896935,8,92.882341
14.109207,6,92.962265
26.028056,17,104.415437
17.581179,12,104.581666
18.288818,8,104.688932
17.913359,8,104.797657
14.267639,11,104.944665
12.574285,8,105.050859
15.293742,5,105.118085
18.805097,9,116.270299
12.086276,10,116.405498
14.557567,10,116.536295
23.750075,15,116.736234
32.056325,24,117.05363
22.207945,17,128.616637
23.72508,15,128.814105
30.161956,17,129.041483
21.510546,12,129.197209
16.377146,11,148.096666
23.442132,12,148.256593
30.906358,24,148.565925
27.10914,17,148.78849
20.400364,11,160.233431
39.32103,26,160.570113
48.25453,32,160.98467
56.603978,38,175.47137
28.413774,15,175.740049
57.508566,40,190.462762
32.897762,21,190.758802
35.468486,35,204.563524
43.391049,30,204.956779
48.967241,46,218.926268
58.513861,42,234.134106
62.145812,42,234.719595
53.503152,37,248.339869
39.505715,44,261.688357
44.200471,39,262.202186
41.444777,45,275.722203
58.782856,37,276.214235
54.577465,41,299.695165
63.474221,42,312.123593
55.231078,37,312.628555
60.132014,38,324.555573
63.927979,41,336.670288
67.183903,44,337.267503
67.990199,42,349.426631
77.153317,51,361.500726
62.341231,40,362.030875
68.276483,44,374.314491
59.203176,46,386.520777
67.966464,55,398.75749
72.968655,46,399.373417
69.018595,43,411.399118
61.076022,46,431.814552
59.398305,38,432.330944
77.219581,50,444.596905
62.254055,43,456.658228
86.449432,58,468.810865
68.940205,45,469.421956
84.697661,55,481.819529
78.203013,55,494.124561
81.805534,52,506.441478
78.980627,51,518.813341
87.426618,51,519.502095
82.751801,56,532.095609
78.711526,58,544.128667
65.413184,48,565.132402
100.435383,63,577.773036
67.393347,50,590.412117
76.397006,51,602.447588
67.782793,54,603.174102
71.544188,57,615.512892
91.482128,64,628.084537
79.077976,57,640.656155
66.803565,59,653.423639
74.9573,49,665.900698
92.730822,63,678.260402
97.571414,68,700.202277
87.094299,61,712.585235
95.672724,63,724.792863
88.799675,59,737.068943
92.867379,64,749.600755
109.36398,70,761.961537
96.352616,66,774.385575
115.275867,76,786.684314
95.80751,63,799.196184
111.255957,74,811.726328
108.276402,70,835.034435
98.754377,64,847.575976
100.196872,67,860.223475
100.92139,66,872.82928
121.742603,82,897.424508
90.965329,67,910.041932
108.447129,73,922.799811
96.063653,62,935.632715
97.147145,62,948.319683
117.00347,76,969.279357
107.419517,69,981.731827
108.341871,69,994.471611
105.457846,73,1007.178538
116.755207,76,1019.693599
103.068844,73,1043.977226
125.910206,82,1056.721746
117.355931,74,1069.285895
106.66415,70,1082.193725
107.911721,69,1103.201126
123.620772,83,1127.175897
119.589757,74,1139.736313
117.910345,73,1152.370331
119.234879,76,1165.024211
107.054367,68,1177.740734
110.173869,75,1190.304582
116.897055,78,1204.32193
105.278906,70,1238.046238
117.869433,75,1251.282003
114.919884,72,1265.652007
102.498668,66,1278.811472
122.629451,80,1292.071993
122.788406,78,1305.758812
111.586853,71,1319.164872
103.550659,71,1343.679572
106.090348,71,1357.605969
109.687266,73,1380.39658
115.079757,76,1393.843376
116.666863,78,1407.254666
117.603479,77,1420.160418
118.066706,78,1446.414884
131.076112,86,1459.5678
115.317485,81,1472.000035
128.213809,89,1496.362618
131.626279,87,1518.783127
116.980157,80,1532.974277
119.443959,79,1559.048661
117.080609,76,1572.148162
108.492491,75,1585.450065
117.433175,79,1598.9113
131.958307,86,1612.052393
130.652437,83,1638.719152
115.147272,81,1662.971012
