# {"t_start": 1639658003.6067116, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
6.12485,7,1.849954
10.117741,8,1.946173
-0.497127,8,2.04355
1.80419,12,2.179961
17.124024,8,2.281735
20.533449,22,21.482449
9.858343,7,21.566478
13.748277,7,21.651676
15.66962,12,21.795158
11.442416,6,21.868161
14.364785,7,21.951586
15.986943,9,22.060093
9.272285,6,22.132705
20.971189,14,33.320325
5.252163,13,33.484562
7.181699,8,33.5872
8.839248,15,33.782535
2.71284,15,33.976138
11.829701,7,34.068016
12.833522,6,45.188342
8.865643,9,45.308333
11.907751,7,45.401443
12.925592,6,45.480994
19.09044,12,45.642377
14.675914,5,45.707611
13.451582,7,45.799512
7.699705,6,45.87727
10.093933,10,57.077853
12.822509,8,57.188144
12.674651,9,57.306232
-0.041458,17,57.531225
7.279978,12,57.694881
19.599721,9,57.816001
12.825007,9,68.876219
15.889952,8,68.98111
18.515727,7,69.07346
14.417155,6,69.15129
13.531734,19,69.400023
16.205731,8,69.505921
18.867182,13,69.674606
19.234797,8,80.693799
14.598094,11,80.837681
12.958256,16,81.048015
14.918251,10,81.182509
14.946681,8,81.288419
19.066277,12,92.746463
15.417285,8,92.850001
15.792761,11,92.996333
22.685831,13,93.165025
17.077888,7,93.257482
13.684359,12,93.416984
14.582316,6,93.496009
19.61167,11,104.870387
29.936677,22,105.171065
13.866338,9,105.292973
16.624466,11,105.438329
17.152665,8,105.546099
14.930927,5,105.611562
16.191636,7,116.738485
22.542352,9,116.860291
28.626801,19,117.111389
22.387527,10,117.24472
17.290982,6,117.326149
19.052553,11,117.472107
20.519229,9,128.922866
31.980561,21,129.203541
31.892259,22,129.495196
24.874015,16,129.703461
23.938626,17,148.680881
39.333562,30,149.072327
44.365005,26,160.711871
37.568876,28,161.07391
41.820736,31,175.428569
27.981775,23,175.759702
23.378265,11,175.913118
29.666964,38,190.664911
36.019666,23,190.990772
22.123808,10,191.129676
26.028058,19,191.395736
23.787612,17,204.949507
43.329111,47,205.570752
56.036188,47,219.557991
65.85725,44,234.802001
53.683029,34,235.275419
53.208863,35,248.861811
50.480723,32,249.310087
65.050265,45,262.643462
66.275556,45,276.167285
68.544131,45,299.69437
62.150617,38,300.204262
59.3379,37,312.564933
56.421397,44,313.164941
70.128599,44,325.171053
34.153866,28,337.111642
69.226105,48,337.761567
64.374303,42,349.922737
73.678504,49,361.968673
62.820995,54,374.374791
67.399542,47,375.011808
70.705701,45,387.203582
68.395377,45,399.304787
75.512252,49,399.960676
83.245322,59,412.206374
67.909077,42,432.566849
64.354069,46,444.781897
65.321154,43,445.356702
70.650084,45,457.453244
73.054369,50,469.495513
68.201751,44,481.740346
69.679656,47,482.380793
74.993951,59,494.741923
75.168431,59,507.151217
73.863929,57,519.605548
73.900035,46,532.067324
75.866017,52,544.025135
64.101501,46,544.636969
82.396003,55,565.736113
75.506342,47,578.16134
75.898632,51,590.812644
89.797408,60,602.96947
88.611654,54,615.26952
80.143344,61,616.088454
85.97225,62,628.634007
85.833476,61,641.256349
86.092733,56,653.98501
80.33623,60,666.609776
74.676641,53,678.836524
69.432233,55,700.60297
82.236791,61,712.985778
82.091555,57,725.115489
87.02333,61,737.415178
88.846964,60,749.896745
98.521334,70,762.253144
90.34059,64,774.650438
99.433062,67,786.828849
109.606955,73,799.476346
114.308527,74,812.006591
103.677878,69,835.305929
90.974565,59,847.779109
112.829801,74,860.51414
97.231134,63,873.08249
97.687145,65,885.769477
89.200378,61,898.271733
110.072702,70,910.933381
89.896126,61,923.524306
113.622504,75,936.529512
107.369909,69,949.312432
113.741351,75,981.787296
113.704276,69,994.521449
117.46334,73,1007.232181
108.316409,68,1019.635098
102.576887,71,1032.04928
121.405328,77,1044.932837
109.299242,68,1057.486666
117.510247,78,1082.067563
112.004302,79,1103.216893
119.395627,79,1115.682576
116.093812,77,1128.151351
120.680565,76,1140.749273
115.121756,74,1165.030405
122.000076,80,1177.911403
125.743167,80,1190.545944
107.069163,72,1204.479591
118.710599,74,1217.803034
127.978208,83,1251.599579
114.404665,72,1265.975605
118.034279,75,1279.253027
123.588889,83,1292.553762
106.648443,71,1306.146795
125.441487,78,1331.972408
126.585942,84,1344.336771
109.746557,79,1358.372686
119.136377,81,1381.268433
119.506204,81,1407.148572
114.251939,79,1420.075885
116.93006,76,1433.822032
132.552695,89,1447.503647
122.831145,79,1471.902043
107.379098,74,1484.323627
117.467065,77,1497.105377
134.025221,89,1519.56556
122.716408,82,1546.212506
122.312022,81,1559.868093
117.055869,83,1573.068741
120.802597,75,1586.355726
101.934792,72,1611.718646
135.151805,88,1625.493047
136.69224,85,1639.610321
112.497804,74,1663.839256
