# {"t_start": 1639658004.1958494, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
11.846646,6,1.246833
12.497755,9,1.355957
11.799951,7,1.438987
8.480064,12,1.581058
11.768874,21,1.832957
9.429715,6,1.905829
-2.387055,13,21.001727
14.788486,13,21.158764
10.238173,7,21.24332
21.519561,19,21.472022
21.174791,17,32.696401
26.602979,23,32.986787
15.619435,11,33.131937
10.071403,11,33.272146
16.663847,14,33.453363
12.693807,9,44.614266
8.955888,9,44.734391
17.998799,7,44.826955
15.692004,6,44.906175
15.306068,6,44.987976
18.363898,12,45.146869
12.200891,11,45.289762
13.47911,9,56.477009
10.883269,5,56.546814
20.523181,9,56.665781
13.590965,7,56.761818
10.231174,10,56.890932
14.865991,6,56.971886
16.311182,7,57.067133
15.693185,9,57.189204
12.071258,5,57.253989
14.225577,7,68.287947
11.708723,6,68.367629
16.273294,8,68.472613
14.877555,7,68.564976
19.460035,11,68.708276
18.044245,15,68.904083
15.699069,6,68.983928
18.867919,8,69.089934
18.057923,8,80.106488
18.79107,12,80.263109
14.93582,6,80.34322
21.147563,15,80.542122
16.385966,8,80.649014
13.053965,8,80.753974
17.034769,6,80.835475
23.792156,15,92.328645
16.718792,11,92.472556
20.648128,14,92.656081
18.230056,11,92.801314
19.458687,13,92.975198
21.817758,10,104.338105
22.31068,16,104.557014
18.740698,9,104.679097
33.284149,26,105.023807
18.034201,11,116.205358
29.342853,19,116.456199
39.212641,27,116.817569
26.095017,17,128.377019
17.480142,8,128.483812
22.723469,10,128.615992
17.123384,7,128.709506
23.948991,15,128.907606
19.134023,9,129.025219
29.399251,17,148.003645
22.234388,9,148.122816
21.66902,11,148.261904
19.066031,14,148.44507
28.510098,23,160.047742
50.985501,34,160.487869
26.1219,15,160.684335
28.162968,18,174.869508
33.948623,21,175.175068
39.572733,35,175.729256
46.178512,49,190.568753
51.191172,38,204.416545
34.378161,25,204.745806
65.86063,48,218.73545
51.540924,34,219.196464
57.518567,35,234.325543
63.429854,44,248.03608
53.813583,35,248.536512
51.904957,35,261.74511
75.621475,50,275.311844
35.223482,41,275.870189
60.732325,42,299.360116
68.860653,47,311.856994
55.555878,37,312.360121
64.523674,38,324.286288
63.670287,47,336.483525
71.627897,45,337.094052
68.507194,43,349.266475
73.112557,48,361.300942
63.133914,42,361.858325
59.765135,37,374.046214
70.645328,43,386.212688
78.147869,59,387.007265
77.236788,49,399.161071
63.832965,42,411.17119
72.09721,49,431.626779
70.702248,44,432.22542
77.821261,54,444.544739
64.933313,39,456.552244
76.396951,49,468.58333
74.989058,51,469.275807
71.759243,61,481.753009
78.577109,51,494.005854
78.473284,52,506.32422
74.053545,56,518.761413
76.848854,52,531.303404
80.795421,52,532.007274
73.390988,53,543.969727
63.393567,46,564.943251
82.122352,53,577.453187
61.280045,48,590.062227
88.651019,60,590.867286
80.491907,54,602.945763
72.935239,59,615.313215
74.447404,54,627.755878
80.632075,61,640.377268
92.34063,64,653.211584
73.946269,62,665.861078
86.231385,62,678.207293
75.045666,59,700.028827
45.928821,45,712.195183
86.966331,63,724.408974
101.320417,65,736.759315
87.576199,61,749.254349
84.779797,57,750.016901
100.329639,72,773.937533
119.363619,78,786.267839
104.315967,67,798.835925
97.161179,65,811.247877
97.375964,63,834.462102
95.632546,66,847.028837
111.582958,69,859.696522
104.65987,71,872.375625
95.687894,71,885.142447
102.806486,75,897.830674
120.1412,76,922.346494
105.427052,68,935.255761
110.95097,74,948.109658
100.041192,71,968.998166
111.498908,74,981.518152
114.331189,78,994.381245
104.910812,69,1007.032309
119.407531,73,1019.506761
103.591011,73,1043.790433
105.689355,69,1056.359753
111.710299,72,1068.895805
114.496619,74,1081.859669
125.812301,80,1103.016347
111.438136,72,1115.384989
113.272527,72,1127.783938
116.118734,75,1152.039063
111.600803,71,1164.621265
108.745015,67,1177.323665
115.373111,69,1189.813582
108.194271,73,1203.756469
105.330505,74,1217.083843
111.031117,68,1238.455464
101.660646,70,1251.624402
117.921919,79,1278.33524
110.410738,75,1291.540647
122.070858,78,1305.226842
108.65039,75,1318.69794
110.820131,75,1332.029325
110.717122,79,1357.289902
114.37303,76,1380.131263
117.160114,81,1393.640119
125.57127,80,1407.081002
129.999372,88,1432.860645
119.123503,77,1446.373309
125.394374,83,1459.49127
110.606899,77,1471.866973
112.632841,78,1496.082649
123.89702,84,1518.46258
123.61032,84,1532.704531
131.779113,80,1546.230699
121.190247,81,1571.960375
105.312334,75,1585.262643
107.765115,74,1598.657595
117.518795,81,1611.73312
125.041851,79,1625.386491
121.414973,80,1662.544404
