# {"t_start": 1639658003.0942361, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
4.00742,7,2.356235
9.490925,14,2.525023
6.391052,6,2.596312
10.754013,6,2.673379
7.733764,7,2.752772
5.511338,12,2.902344
6.614272,7,2.978451
7.850373,15,22.100966
8.768291,11,22.234615
8.985971,10,22.352583
8.94027,14,22.522528
14.629081,9,22.629813
12.165903,6,22.701606
13.455348,14,33.893239
12.395679,18,34.124259
17.379621,8,34.229288
11.668096,12,34.384413
18.189644,14,34.563305
12.485181,7,45.698439
14.173741,25,46.030388
13.832413,10,46.165784
14.985912,9,46.283291
5.683469,11,46.42737
17.507273,12,57.657624
14.636435,6,57.737538
17.280663,10,57.869454
10.266391,7,57.962286
14.808726,6,58.041341
12.287956,5,58.109359
13.052181,7,58.205223
11.014048,5,58.271975
14.295467,6,58.351838
23.64446,25,69.622858
19.840066,13,69.793495
18.018749,6,69.872143
13.985937,8,69.977081
17.616889,7,70.067584
13.25774,7,70.159439
14.752387,9,81.190668
12.946269,12,81.347497
16.769751,8,81.452465
22.172476,14,81.64024
18.051863,10,81.77213
12.276893,14,93.257242
18.542909,11,93.400927
15.48819,8,93.506763
16.775665,11,93.650172
14.517317,9,93.767623
17.988151,7,93.860234
17.678148,8,93.967126
20.773846,9,94.086503
19.608004,10,105.449777
15.547759,6,105.533069
21.293392,12,105.694472
14.565768,6,105.775573
20.766739,10,105.909157
16.268409,13,106.082836
19.122239,8,117.2222
19.578502,10,117.356694
15.554457,6,117.434881
34.521516,25,117.768957
19.784611,14,117.953013
19.168496,14,129.474446
16.445058,7,129.567866
20.820563,16,129.779383
22.752821,13,129.953701
16.930865,8,130.057158
20.732649,14,130.23945
28.072082,17,149.218176
26.281621,17,149.4389
16.758827,13,149.609186
33.215088,20,161.169785
39.272283,29,161.544999
20.641341,10,161.677233
23.778041,10,161.807346
22.009384,18,175.993877
22.493906,14,176.196255
55.360592,35,176.751056
38.034654,24,191.246568
21.565291,18,191.50138
45.676822,33,205.284238
37.604974,35,205.751374
48.889165,32,219.495524
53.194301,45,220.133743
61.992206,46,235.411058
35.552162,25,235.75695
60.868891,43,249.453399
49.36457,44,262.801905
34.369901,34,263.244174
74.70701,54,276.888949
57.861572,38,300.326277
46.104006,39,300.850595
73.912914,52,313.416291
60.042185,38,325.344419
51.819207,34,325.803104
63.42017,46,337.988331
63.299696,42,350.149997
61.956779,41,350.697502
71.601131,45,362.694314
63.057852,40,374.912486
59.580198,38,375.427994
53.695998,37,387.511441
63.931879,40,388.053013
80.69881,56,400.298259
68.891584,49,412.406003
76.966757,49,432.860944
74.036623,51,445.149258
63.336542,54,445.866753
66.4941,49,458.017563
69.659779,47,470.018922
67.089979,50,482.345979
58.692904,50,494.588086
69.097561,48,495.238964
64.883752,50,507.527931
75.144587,50,519.886378
69.049335,48,532.373208
68.472747,44,532.968453
74.79974,49,544.881934
70.634303,47,565.869714
84.579793,63,578.507836
75.918531,56,591.227407
78.313215,50,591.89985
64.373285,55,603.989196
78.157166,61,616.385584
74.56809,60,628.905797
76.393272,53,641.418823
96.603276,62,654.229976
103.6345,63,666.892253
84.156569,50,679.079899
96.962084,67,701.001565
81.371863,55,713.307192
93.7884,64,725.532348
105.541326,72,737.978969
86.234402,56,750.405951
94.784384,58,762.601426
83.284464,56,763.354172
94.217197,67,775.801343
87.182001,56,787.823667
105.784375,73,800.470201
77.979171,61,812.825655
106.099469,71,847.838534
107.295568,70,860.513405
115.4172,72,873.190675
102.01487,64,885.874742
93.363421,66,898.444746
93.914113,62,910.993387
102.951889,70,923.710494
95.096363,71,936.665281
130.061062,83,949.630402
99.144343,64,970.435609
111.102736,71,982.913903
122.874862,80,1007.523012
95.960176,68,1019.931018
106.950786,71,1032.345074
113.580578,73,1045.171491
111.114915,70,1057.752939
107.369109,70,1070.263706
120.101601,78,1083.280382
114.395934,73,1104.344565
109.526947,71,1128.15436
106.196953,68,1140.634184
99.26471,66,1153.173285
112.537938,72,1165.772715
117.035224,76,1178.598377
105.947348,68,1191.069216
110.613297,70,1204.976567
108.437142,74,1218.299251
122.554897,81,1252.068047
117.22601,77,1266.51297
99.151386,66,1279.653763
101.377004,70,1292.79001
117.207191,76,1306.44892
103.194528,72,1319.87438
132.63786,84,1344.562205
128.013807,84,1358.665866
118.823274,77,1381.509055
114.761654,75,1394.945588
111.243785,75,1408.31222
108.374104,72,1421.150703
120.720486,76,1447.379056
117.248153,77,1460.409662
114.439384,74,1472.749103
111.315248,82,1485.274347
109.280242,76,1519.297038
127.291909,91,1533.622914
121.504898,82,1547.17815
117.911423,73,1560.72976
133.380331,89,1586.293123
122.67408,82,1599.793806
133.673735,87,1612.9506
112.587624,75,1639.496259
95.584364,79,1663.695305
