# {"t_start": 1639658003.1898305, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
10.983984,8,2.278008
20.474164,38,2.728691
14.931114,16,2.920395
14.650618,13,22.018132
18.424961,12,22.163346
14.176004,9,22.27
11.013421,11,22.402993
11.041916,5,22.462216
12.554107,21,33.735489
14.701961,8,33.835485
8.116649,10,33.962327
5.556355,8,34.070243
5.932021,6,34.147344
10.288735,9,34.263155
9.043829,15,34.455939
8.991546,10,45.631121
15.76352,8,45.737396
13.970579,7,45.829903
15.620622,12,45.990676
14.69635,10,46.122967
12.323146,6,46.201889
14.674807,9,46.319745
12.177538,7,57.480383
14.87894,8,57.589628
18.876444,12,57.750385
18.464594,7,57.840743
18.621134,11,57.987085
20.363382,9,58.109737
20.494276,12,58.271015
27.081266,20,69.475618
15.966183,6,69.554394
18.755306,9,69.672299
14.422611,5,69.737438
12.513945,7,69.827811
15.716032,7,69.92159
18.915817,10,70.051521
19.543573,10,81.095167
20.350456,12,81.252933
9.234764,13,81.423661
18.723463,10,81.557592
19.085101,8,81.664024
25.865678,21,93.240257
7.243346,9,93.357662
14.25115,6,93.437965
17.569914,10,93.567475
11.888697,9,93.686175
18.152496,8,93.792337
19.603217,16,105.232082
24.241065,16,105.451729
16.014416,7,105.545551
24.083179,18,105.788377
18.640095,10,105.920693
23.568218,35,117.419509
17.801191,12,117.581309
21.285025,18,117.821707
20.704186,11,117.963111
26.27393,18,129.538885
31.088085,20,129.805647
29.474316,20,130.0671
21.542439,10,148.953537
22.372368,14,149.136575
43.557447,28,149.500761
20.254135,8,149.606499
35.155439,35,161.361465
19.981508,12,161.515759
31.2382,21,161.790079
23.492781,13,175.912761
60.780869,45,176.61219
51.318056,38,191.306663
42.676885,32,191.756096
41.442337,30,205.485852
42.608687,30,205.880054
31.830933,19,219.463093
54.277348,38,219.998162
57.795544,45,235.257925
32.055903,25,235.606069
51.864028,35,249.197779
60.213584,39,249.740227
56.788305,37,262.969535
51.182789,35,276.341433
53.953002,40,276.886778
68.301084,41,300.362213
62.779894,53,312.94001
60.234176,44,313.5391
75.028593,52,325.654969
74.468491,48,337.866176
60.262411,42,350.027407
71.450833,42,350.590202
65.717467,41,362.534478
72.152496,46,374.8311
70.370646,48,375.481182
69.882172,51,387.755251
77.043434,58,400.029836
67.838739,44,412.06739
67.691794,43,412.649856
64.719186,40,432.982682
77.628429,49,445.237833
72.294471,47,457.359916
69.915174,46,457.977211
72.459861,48,469.992192
77.813421,50,482.320065
80.943571,58,494.668299
76.310464,48,495.321919
68.648205,45,507.540763
76.816714,60,520.034636
79.213136,53,532.589805
75.891583,55,544.588843
75.846337,48,565.588468
77.84506,53,566.29914
90.425422,62,578.923045
72.623508,56,591.647536
78.095142,54,603.720156
74.183352,54,616.018314
81.786695,51,628.428354
106.593626,67,641.125412
78.964542,59,653.892558
79.255401,49,654.5477
101.701503,66,667.25624
85.302966,59,679.557889
61.639213,46,701.208538
83.191867,61,713.587709
84.018487,60,725.755995
88.778323,63,738.089456
101.752477,67,750.656899
107.00602,74,763.072443
94.479544,63,775.459331
96.604077,67,787.635137
116.761208,74,800.297122
92.606563,69,812.757435
96.416483,68,847.729306
95.00667,65,860.337808
96.936231,66,872.923664
103.451496,72,885.726148
110.244329,75,898.416283
113.586628,76,911.160563
111.047858,70,923.87223
89.548442,59,936.666253
107.212556,73,949.49494
117.914461,77,970.474241
107.188322,72,994.773829
90.913732,65,1007.374107
107.766214,73,1019.849637
104.034104,71,1032.263784
96.745967,67,1045.00972
102.827406,69,1057.5773
107.577043,69,1070.076989
117.072996,76,1083.063842
115.796677,73,1104.123506
105.213273,66,1116.413943
115.180205,72,1128.814592
121.698407,80,1153.132493
115.606547,77,1165.80047
112.927791,77,1178.637434
120.636541,75,1191.201748
124.807322,77,1217.5338
123.713083,78,1239.037869
125.848272,81,1252.357637
111.502853,73,1266.738522
122.924842,76,1280.05911
129.655146,84,1305.973361
129.529954,85,1319.582338
118.211512,78,1332.952362
113.825027,74,1345.178889
123.416203,77,1380.993567
106.885252,74,1394.398531
123.064648,78,1407.831667
95.332935,69,1420.631938
120.875448,77,1434.383152
124.140948,81,1447.959508
117.173647,82,1472.399373
132.901344,83,1484.938925
117.311632,79,1497.763825
122.74253,86,1533.251997
115.951351,78,1546.761037
136.192132,86,1560.485516
116.285653,84,1573.695215
117.125945,85,1599.52266
132.503943,86,1612.674031
121.656152,81,1626.351098
110.289295,78,1663.474008
