# {"t_start": 1639658005.0583053, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
12.181977,13,0.467808
14.373773,6,0.538839
6.817431,6,0.615213
11.642713,11,0.744482
15.365986,8,0.841549
8.552532,6,0.91045
8.983404,7,0.994722
11.673314,12,20.08221
9.165454,12,20.224393
0.065853,22,20.491883
12.064735,7,20.577508
4.54689,13,20.731519
20.021544,8,31.847332
12.335727,6,31.922433
15.789631,9,32.035424
16.610535,6,32.113543
11.891595,11,32.258993
7.739797,7,32.348
17.526391,8,32.450712
17.291051,7,32.54196
13.205788,5,32.605782
11.55575,6,43.72865
14.073655,9,43.848011
9.783218,6,43.927703
10.578651,5,43.994323
14.479711,5,44.059741
16.105971,19,44.311084
15.553715,7,44.4046
15.622158,10,55.604811
9.839016,6,55.687603
15.444631,7,55.77987
15.249056,10,55.912632
13.292522,7,56.004126
13.991145,6,56.081433
16.183323,11,56.234276
9.627465,7,56.325771
11.84078,5,56.392751
14.683292,6,67.415981
17.429505,12,67.571244
18.067336,9,67.691817
13.187762,13,67.861758
15.690315,7,67.952673
15.578303,7,68.045101
13.881676,6,68.120867
15.782188,6,68.199416
16.627118,7,79.206426
24.504119,12,79.364477
14.496517,8,79.468179
29.230213,19,79.719651
13.152513,8,79.825973
24.786299,17,91.352196
13.098444,6,91.429704
18.42033,10,91.56085
20.838882,11,91.703046
20.201291,7,91.796501
21.864447,15,91.997073
14.935572,7,92.089953
13.829858,9,103.437166
17.637936,8,103.548242
19.557408,14,103.738616
16.626686,8,103.846187
18.085597,8,103.952646
19.31637,18,104.189728
16.518146,6,115.305018
25.930211,13,115.478305
43.600758,38,115.982875
19.310042,8,116.087254
22.682707,16,127.636808
32.462011,21,127.915511
17.683765,10,128.047421
22.937633,14,128.229546
20.725285,8,147.090652
36.553374,29,147.468428
27.127139,36,159.238762
28.151729,16,159.444301
31.151547,24,159.755741
41.621471,28,174.078233
39.567807,39,174.678905
36.490619,26,189.218089
35.326756,21,189.514964
36.441419,35,203.326996
51.57507,39,203.847777
57.999237,35,217.64545
49.515047,35,218.133601
57.013794,49,233.452886
38.893515,43,247.149702
62.963018,40,247.71522
69.786306,60,261.249366
57.017335,34,274.623485
65.20672,49,298.206443
65.934258,45,298.810836
59.986577,43,311.25654
53.373546,42,323.23811
51.628707,55,323.982637
62.772612,40,336.085293
65.777625,43,348.261493
60.886012,36,348.739371
61.530676,38,360.645562
65.555064,44,372.91424
72.711909,43,373.496593
58.666694,40,385.623237
74.050501,45,397.723234
61.289039,41,398.27317
70.037619,45,410.326219
72.342425,45,430.725668
81.223912,53,431.446823
82.683135,55,443.77715
74.798238,51,455.950404
73.025819,48,467.965644
62.471774,41,468.523103
74.247308,48,480.82412
81.995428,52,493.091026
65.021567,48,505.355444
74.20204,47,517.670682
68.141212,47,518.306767
76.568865,52,530.846356
77.241707,54,542.833086
83.565196,56,563.937451
56.012242,47,576.36096
94.265154,65,589.202699
66.543881,47,589.838497
68.064728,47,601.817512
94.060433,65,614.262171
85.914095,58,626.760469
96.319638,63,639.408084
77.876736,50,652.05665
78.442653,64,664.736076
75.568131,57,677.01377
75.651471,60,698.840476
67.951862,50,699.521357
82.231613,53,711.790435
91.039758,59,723.945959
88.866295,59,736.226221
86.279863,57,748.659952
86.68869,59,760.875687
82.046841,58,773.186819
95.732385,62,785.298537
82.051597,60,797.768701
78.357498,58,810.094939
97.994265,68,833.372793
104.685952,75,846.065065
102.136067,69,858.729913
107.130287,72,871.417031
95.16526,66,884.119537
96.441631,65,896.674247
119.771441,77,909.433093
114.868154,68,922.116549
108.408361,75,935.121299
106.833018,70,967.850249
109.267858,70,980.32384
114.176317,75,993.142878
104.850307,69,1005.797019
86.331848,67,1018.188223
117.113365,74,1030.642858
102.603698,65,1043.364786
110.412988,74,1055.998052
96.423667,63,1068.414232
104.000452,75,1081.387206
129.691012,85,1114.025301
110.59428,71,1126.42012
108.294571,71,1138.942332
99.085979,69,1151.525546
121.535458,75,1164.166011
127.220936,83,1177.078086
118.371259,78,1202.651741
120.624418,79,1216.047704
101.593695,73,1237.490319
107.985373,77,1250.750859
124.192326,81,1277.489623
112.424809,76,1290.707742
113.357666,72,1304.313218
104.886641,74,1317.772654
104.947485,80,1331.170022
102.013609,73,1343.383916
124.206951,79,1379.229315
119.733261,77,1392.683651
113.640559,88,1406.234145
112.261232,72,1419.07164
117.683054,75,1445.291031
110.180884,75,1458.289328
121.679125,83,1470.751789
122.102423,81,1483.262998
103.677202,73,1496.009634
118.327925,78,1531.390218
113.352301,76,1544.87157
120.388714,78,1558.488276
102.193559,79,1571.632077
119.881622,85,1597.456408
124.903285,83,1610.565455
131.269084,83,1624.279121
102.592661,71,1638.205719
