# {"t_start": 1639658004.268393, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
17.12048,7,1.184051
13.574724,8,1.281535
16.458065,22,1.543609
11.852776,8,1.641078
8.357189,11,1.770874
14.954733,13,20.868974
6.984722,9,20.979647
15.919557,13,21.134716
11.296849,11,21.266628
8.123127,5,21.328692
10.956293,17,21.532435
3.994773,14,32.721686
12.624145,7,32.809417
14.257112,5,32.87423
8.313976,4,32.926958
10.316227,10,33.057511
11.530587,8,33.159303
18.342763,18,33.39507
12.272068,8,44.541846
19.815983,13,44.714696
13.834595,8,44.820856
16.44562,8,44.930041
16.479275,10,45.06092
12.419815,10,45.191355
10.868889,7,45.28433
15.886138,12,56.514633
13.985519,6,56.594807
14.076378,9,56.715374
16.539352,8,56.819385
16.872633,10,56.956613
13.909851,6,57.035012
17.054056,6,57.117007
15.422425,7,57.208358
16.613256,13,68.321012
16.552444,8,68.426921
17.367263,14,68.612283
11.294357,8,68.714221
12.673272,7,68.806684
17.746471,9,68.925485
19.579637,13,80.007104
14.084833,5,80.072792
14.001229,8,80.176787
22.878199,15,80.375392
13.502972,5,80.445651
17.03153,12,80.604597
18.099829,9,80.721271
17.48262,12,92.178955
16.403352,6,92.259081
21.929403,19,92.505441
17.029841,12,92.663561
17.414804,6,92.744336
21.269792,13,92.916705
19.703462,12,104.307646
19.914476,11,104.456946
23.653167,11,104.606842
17.392864,7,104.70056
18.477336,7,104.79155
23.6697,14,104.978585
19.531893,8,116.119277
18.504255,8,116.223428
31.847873,24,116.542912
20.387743,9,116.665848
21.275061,7,116.75651
23.314364,18,128.332194
43.198734,36,128.809997
14.503814,15,129.004593
49.621244,34,148.201469
18.869618,9,148.320308
27.036652,18,148.558525
24.49305,19,160.10634
13.455664,12,160.260231
25.759894,15,160.455043
39.221254,31,174.811014
28.394863,24,175.159428
28.546297,16,175.406215
42.440502,30,190.019322
45.560142,29,190.425305
57.708203,45,204.371767
59.870837,41,204.911358
41.256651,28,218.632854
31.049153,21,218.925227
50.538181,39,234.100067
60.324154,42,234.689142
44.725602,42,248.381662
51.801789,33,261.564232
63.864096,41,262.099592
58.874429,38,275.534965
64.268442,42,299.021082
54.854551,33,299.463031
59.389605,42,311.891848
66.487588,42,312.463917
60.421675,41,324.431002
61.618347,37,336.495244
52.111345,43,337.076015
65.477837,42,349.234356
57.416387,42,361.186818
67.081683,41,361.737052
30.069815,32,373.850049
75.552068,53,386.153143
75.598303,50,386.828902
72.610341,63,399.1675
72.595513,47,411.249673
68.156262,44,431.634984
67.967879,50,443.912627
73.969803,47,444.53711
73.771707,47,456.65659
66.013786,42,468.592991
75.178712,52,469.296934
80.428373,57,481.720833
70.787605,49,493.946684
76.540148,50,506.236084
77.107376,57,518.688143
78.270884,61,531.353271
80.992059,54,543.337495
83.610989,56,544.084427
75.4423,53,565.155714
75.882537,49,577.605997
84.48274,52,590.274585
80.746346,58,602.403659
77.203212,49,614.638456
86.215428,63,627.207951
71.651427,57,627.961421
75.227206,54,640.490926
83.726639,54,653.191633
76.407365,47,665.643335
86.647154,62,677.989625
76.041897,57,699.777054
78.39122,50,700.459775
118.158242,76,724.402447
101.673287,75,736.892471
87.835414,57,749.331126
111.110251,68,761.662355
85.079441,61,774.018375
101.859859,65,786.169297
88.760915,65,798.707966
90.701736,59,811.040617
101.153195,62,834.242638
87.456389,72,846.890852
102.371461,62,859.462995
92.947237,65,872.056726
106.837955,72,884.838845
113.062334,71,897.474719
97.6868,65,910.071194
96.253632,63,922.687943
106.172722,73,935.670029
103.482255,73,948.50182
107.087306,69,969.371467
113.717489,78,993.751454
118.339163,75,1006.489148
105.268043,71,1018.935246
101.73696,69,1031.322369
118.82167,74,1044.165308
111.981796,76,1056.826571
110.120788,74,1069.384959
105.678057,72,1102.411488
109.549713,74,1114.812513
113.083496,76,1127.272772
121.04702,75,1139.849368
112.84433,74,1152.50251
129.32389,83,1177.049542
97.184279,69,1189.547614
122.245136,78,1203.547304
113.605048,75,1216.889238
118.905612,75,1238.355985
120.037957,77,1251.62076
118.142713,75,1278.276535
110.157064,74,1291.468217
120.733291,85,1305.251173
74.95892,67,1318.612253
122.918226,81,1332.023231
120.958454,81,1357.316617
105.279908,71,1380.08422
126.049235,83,1393.625934
135.743111,87,1407.155355
119.689638,78,1432.801259
127.768374,86,1446.44085
123.214451,82,1459.541554
103.457103,75,1471.888437
115.353246,75,1496.064743
138.670322,91,1518.536622
124.450152,80,1532.728198
113.639742,77,1546.213076
115.482998,77,1571.887634
123.497614,78,1585.231385
122.296755,78,1598.678534
121.45032,79,1611.727999
121.379643,78,1638.312921
115.745894,79,1662.512081
