# {"t_start": 1639658003.2375011, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
12.808536,6,2.202108
12.202578,5,2.267285
10.659261,5,2.325804
11.35501,16,2.518984
10.898488,6,2.591225
6.429378,17,2.789607
8.146048,13,21.883843
11.757612,9,21.994161
13.925658,16,22.18702
8.211231,9,22.293493
9.603338,16,22.487382
16.195471,8,22.583685
14.06166,13,33.763268
16.883768,10,33.889778
14.430077,7,33.982198
5.710692,5,34.048546
12.004093,6,34.124275
20.747122,24,34.434558
17.131108,13,45.649395
16.900675,10,45.782302
15.227765,11,45.929477
13.846623,7,46.023538
11.215658,6,46.102041
7.661681,8,46.205615
16.442613,10,46.337448
17.071938,10,57.542057
11.057525,11,57.687872
13.742381,6,57.766715
14.502253,14,57.95417
22.030696,10,58.089054
17.249665,13,58.261438
12.592973,5,69.271572
14.499342,10,69.402223
12.913878,10,69.532899
17.603054,7,69.625642
16.375645,8,69.729922
8.4162,10,69.860278
11.384432,9,69.977143
21.542578,21,81.165606
17.656299,12,81.324038
10.934474,7,81.415752
18.789051,9,81.536958
15.02389,10,81.669434
19.442142,14,93.153637
16.97657,7,93.244877
20.994668,9,93.363566
15.823807,7,93.45448
19.424735,10,93.584791
22.257812,13,93.757579
16.692361,9,93.876961
22.110093,15,105.30812
18.006216,8,105.417442
20.609802,17,105.646982
17.109507,8,105.754237
20.78237,9,105.873173
20.330241,9,105.992693
18.86205,8,117.133772
18.217286,6,117.214332
27.08805,18,117.453186
22.984469,12,117.61274
22.498389,15,117.810764
30.971813,23,129.452765
31.033097,22,129.744772
23.509047,16,129.954115
23.394008,14,148.892385
40.363408,28,149.257261
24.515642,18,149.493432
25.188314,16,161.003575
24.844964,16,161.209388
31.611549,23,161.507378
36.763328,35,175.920703
48.28211,44,176.610226
18.568489,10,190.90656
63.860299,45,191.539076
57.467555,39,205.399569
42.22037,29,205.778931
29.7739,25,219.44404
60.436221,39,219.989855
53.007162,31,235.060668
44.802616,36,235.558398
44.2984,28,249.049721
49.157231,39,249.59574
60.747281,42,262.896596
57.191929,36,276.28029
46.782206,29,276.681991
60.635806,38,300.115373
50.242603,33,300.562049
64.615825,40,312.961225
60.639203,41,313.519511
67.529469,44,325.525483
63.659741,42,337.655847
68.299887,46,338.281815
71.712882,48,350.515981
60.830322,39,362.433101
72.368048,52,374.810785
59.030207,37,375.312657
66.813219,44,387.491396
72.407744,46,399.606418
72.805255,51,400.288602
68.203603,45,412.344866
58.187383,39,432.664848
64.000697,51,444.952248
82.048195,61,445.765866
76.062455,51,457.944234
77.335685,54,470.040013
64.046414,42,482.257926
62.34565,44,482.85919
71.943218,56,495.177077
67.21273,59,507.585938
74.827304,48,519.919655
86.089396,67,532.662769
80.386068,54,544.646994
81.24156,53,565.712867
78.436805,61,578.324795
86.76166,62,591.125856
80.552154,55,603.218852
92.667595,64,615.650163
81.551116,58,616.429766
83.881818,55,628.881584
82.931011,62,641.518955
79.254234,55,654.233174
68.455324,56,666.804621
87.527122,58,679.096266
90.123123,63,700.970713
96.650782,63,713.381404
90.016507,59,725.535637
86.522812,64,737.878051
87.081773,60,750.357447
62.632768,65,762.649206
86.635153,53,774.89343
101.78475,68,787.086731
74.321275,53,787.806859
105.030749,65,800.341813
85.959447,58,812.656459
96.929408,63,835.871293
93.650944,64,848.410141
96.818909,64,861.018935
95.23599,67,873.637837
94.689543,67,886.348315
98.054535,65,898.906928
102.483373,69,923.328143
110.574884,78,936.373354
117.203498,73,949.209522
101.754923,71,970.102474
95.812819,65,982.501838
111.116319,68,995.227154
116.621906,70,1007.893818
114.204618,75,1020.393331
98.920539,69,1032.778949
104.105721,72,1057.232826
115.751312,73,1069.782924
118.678646,75,1082.761853
122.816893,79,1103.90656
114.946843,73,1116.288354
106.633512,66,1128.6133
107.445567,76,1141.210973
121.823893,83,1165.616969
123.206419,80,1178.496665
113.350526,76,1191.073144
118.493295,76,1205.061628
116.047838,78,1238.895965
125.999868,83,1252.243493
113.201748,79,1266.704307
119.379401,77,1280.039644
127.86314,81,1305.912467
92.921228,67,1319.281308
127.667734,81,1332.687949
124.857075,80,1344.998506
136.511916,87,1380.945776
120.529805,78,1394.409779
123.072164,82,1407.889949
126.049455,83,1420.873594
129.272504,80,1447.157859
116.683212,79,1460.214949
122.323366,85,1472.701251
119.558632,71,1485.077807
125.724504,85,1519.221909
131.579869,88,1533.507931
126.538752,78,1547.008185
116.452311,76,1560.603678
92.110583,64,1573.542556
121.97776,83,1599.339082
117.248891,75,1612.340773
133.762114,88,1626.120427
131.656841,85,1663.323102
