# {"t_start": 1639658004.2440894, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
16.743599,12,1.273052
14.670256,6,1.339906
10.391211,5,1.401462
19.469,25,1.700447
7.465114,8,1.798713
14.113983,14,20.905402
15.805525,13,21.06172
15.814557,8,21.15893
12.489473,6,21.231708
11.954555,11,21.367125
12.525028,9,21.472593
16.139023,6,21.544873
8.785174,15,32.748373
10.239086,13,32.912733
22.336607,14,33.095147
18.571856,17,33.314363
17.297718,12,44.513231
14.109603,7,44.607173
7.380182,12,44.766251
17.902568,12,44.925593
0.336858,10,45.059803
13.959998,7,45.15108
14.775225,9,45.269683
18.161596,9,56.458639
23.924489,14,56.644788
12.370294,6,56.723606
14.577994,11,56.86853
18.402816,9,56.990633
16.061946,7,57.088451
14.424523,7,57.182199
11.242614,12,68.280715
14.949293,6,68.360769
14.043657,5,68.425261
12.090341,15,68.623527
20.047062,7,68.715555
17.124353,9,68.831
13.148012,8,68.934057
20.817407,9,79.967034
17.170211,8,80.071675
13.149281,14,80.255033
16.947557,6,80.333165
15.447916,6,80.412665
14.61443,7,80.507001
19.726452,15,80.705266
20.212229,11,92.151934
14.051637,7,92.241356
16.336576,8,92.347353
16.063863,6,92.424279
12.808215,7,92.517784
14.752849,6,92.594076
20.721426,11,92.741981
21.83611,15,92.941125
17.800589,6,104.247773
19.596685,15,104.454386
15.815372,6,104.535203
21.968259,15,104.73802
35.928903,26,116.116465
19.05082,8,116.224507
20.378132,7,116.315824
23.417944,19,116.568473
15.020727,6,116.650412
18.905356,34,128.434945
20.238403,11,128.580409
37.229778,23,128.884773
20.133266,11,129.030666
18.705465,11,147.928581
36.199536,27,148.279737
20.759501,10,148.410681
26.502196,16,148.621245
21.98948,17,160.141341
27.623863,19,160.385431
22.065027,13,160.555182
19.683904,12,160.714937
42.543387,47,175.323132
30.621275,18,175.636518
27.735638,20,190.07204
28.935367,18,190.326605
42.811446,29,190.732267
46.85805,37,204.55428
41.317939,30,204.947297
60.568002,44,218.894672
43.258312,32,233.969862
58.411173,37,234.480846
56.470985,35,248.075331
41.523073,43,248.674508
58.064506,51,262.08682
53.563119,38,275.516911
55.901264,41,276.063893
57.83795,38,299.500793
61.928489,39,311.889032
59.1853,42,312.461039
58.898817,41,324.430272
45.786197,41,336.543442
63.77028,39,337.072936
60.964525,40,349.205098
72.726653,45,361.197822
94.430682,66,373.766193
66.283235,44,374.363312
72.601732,45,386.555764
73.61336,49,398.710174
64.450057,39,399.231851
57.621818,47,411.313828
62.442017,41,431.659396
67.098403,39,432.18946
60.241613,46,444.402625
60.255614,41,456.437455
74.84366,48,457.090099
81.860644,54,469.186377
78.778154,53,481.556061
76.661281,53,493.832952
77.909076,54,506.179517
72.310141,59,518.659957
76.680148,51,531.186853
72.874653,54,531.916486
71.783606,57,543.935665
59.442899,49,564.953057
70.976233,49,577.404949
81.230634,53,590.081584
86.318709,61,602.254211
96.081176,69,614.752136
87.79269,59,627.272651
79.890722,57,628.024311
77.739574,55,640.568846
71.458901,47,653.176691
92.026145,61,665.812132
78.529529,56,678.079068
84.995381,56,699.855484
88.654493,59,712.215206
95.584733,64,724.439968
90.851172,58,736.697258
91.245243,64,749.232955
95.055902,63,761.496874
91.489749,60,773.83486
92.962099,63,774.696402
85.566238,61,786.789149
86.84389,57,799.217682
97.125611,62,811.585506
92.058581,59,834.747867
95.607593,62,847.262797
98.569246,63,859.851771
105.316432,70,872.515987
98.587009,65,885.200173
103.976787,71,897.836322
107.38661,70,910.501837
101.918744,62,923.103759
103.424367,68,947.874697
95.064275,67,968.703002
115.031374,76,981.256471
93.02821,70,994.009061
102.386606,72,1006.703807
105.634618,74,1019.190335
112.789438,71,1031.602747
125.074732,79,1044.514611
104.477752,70,1068.659642
124.005915,79,1081.691
105.633281,72,1102.741179
119.130826,76,1115.167365
120.806842,77,1127.633533
111.611652,74,1140.206553
112.507968,76,1164.517748
99.534498,67,1177.221191
92.56946,65,1189.660526
114.773419,75,1203.62776
117.526159,80,1217.034499
116.891772,75,1238.503722
122.745776,74,1251.725752
104.883864,70,1278.314451
118.961923,72,1291.478635
120.657347,75,1305.124079
117.771482,78,1318.638796
116.082716,78,1332.007389
108.010127,74,1344.235771
116.323199,75,1380.025594
121.26794,86,1393.608065
114.669543,80,1407.046171
125.56943,80,1419.991878
116.776931,80,1446.273085
128.406932,86,1459.429669
130.952721,82,1471.872567
102.815838,76,1496.060845
120.12273,84,1518.440237
113.380682,82,1532.656497
112.75318,79,1546.16881
120.787475,78,1571.856971
130.152332,83,1585.271266
125.069258,85,1598.808337
101.731757,76,1611.817778
128.699381,83,1638.479308
106.690705,74,1662.611817
