# {"t_start": 1639658004.6561754, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
8.183383,7,0.798738
2.488515,13,0.956237
10.218578,15,1.136294
8.650429,12,1.279352
17.465226,11,1.409702
9.579101,15,20.532913
13.07555,7,20.615846
12.208938,10,20.737194
7.030763,8,20.832323
13.960242,6,20.903255
4.681668,10,21.025654
15.941831,19,32.274113
12.510979,7,32.360462
12.901164,12,32.514735
12.370824,10,32.6479
15.96754,21,32.916726
15.772604,17,44.183438
16.916758,14,44.368805
14.58985,5,44.434384
5.586059,15,44.634306
18.459376,18,44.870892
16.299385,13,56.114315
16.0501,13,56.286797
14.976373,6,56.365183
6.701675,11,56.511187
16.571841,7,56.608333
16.247318,9,56.728601
16.52914,7,56.821393
13.880977,8,67.869749
10.307431,13,68.041541
19.869436,11,68.183946
21.115634,12,68.340506
21.66516,17,68.563298
18.64106,11,79.621038
16.028182,8,79.725595
16.313214,7,79.817968
16.064768,7,79.909772
21.763558,12,80.070674
15.171594,6,80.149628
17.216429,9,80.268043
19.866984,17,91.790236
13.375228,7,91.882911
17.729365,7,91.975468
24.118181,20,92.238518
15.984223,8,92.344168
16.441211,8,92.448988
24.832796,29,104.070639
20.663174,8,104.181544
37.93083,33,104.618692
23.595485,12,115.814682
20.656145,15,116.011395
19.330927,11,116.15889
16.901527,8,116.265613
44.57218,34,128.050404
20.697089,13,128.223809
20.986426,13,128.398649
15.559385,12,128.553566
36.713334,33,147.739331
17.323409,7,147.829833
24.592316,12,147.984735
31.431499,25,159.614588
36.815219,24,159.923173
47.519746,37,160.406723
32.731556,27,174.740513
43.095027,27,175.180143
55.475931,40,189.903198
58.1799,38,203.755061
28.846199,18,203.99862
68.82738,47,217.940761
50.61657,35,218.443252
59.479539,37,233.589474
59.564797,49,234.273362
54.774792,40,247.931633
58.726008,38,261.191912
54.318334,33,261.621593
66.064012,45,275.14815
63.490707,42,298.634689
48.142175,40,299.171742
60.197622,44,311.632225
63.488867,38,312.145833
55.522429,34,324.018275
63.402503,41,336.133366
55.497045,34,336.594398
58.851564,38,348.701696
66.327082,46,349.316148
73.453667,49,361.362514
67.026914,43,373.627595
74.797536,51,385.904251
74.272925,46,386.524349
59.459123,36,398.50206
70.39548,45,410.551786
78.596651,52,431.045058
71.110787,44,431.645742
70.112086,42,443.802231
74.621965,56,456.038593
71.86692,60,468.218982
65.774245,41,468.775741
64.405089,50,481.102813
78.454814,49,493.327369
88.129703,67,505.849334
67.600262,42,518.097269
84.527983,62,530.777215
73.959705,48,531.425195
76.875349,48,543.324596
70.366461,55,564.417387
72.955251,50,576.885336
74.33318,53,577.592156
66.416072,55,590.303051
74.412704,55,602.392087
72.907122,52,614.663624
78.799699,57,627.152335
79.711426,51,639.637122
92.368067,61,652.430777
83.373923,59,665.043491
89.506011,67,677.455032
88.744369,67,699.376994
82.885779,55,711.681321
95.968175,61,712.502286
96.962397,59,724.653793
81.268741,61,736.958534
79.866229,54,749.355378
84.879551,59,761.569168
87.61102,60,773.916764
99.000885,70,786.132964
102.132085,68,798.71306
90.174913,59,811.041625
109.863313,71,834.363728
95.449923,62,846.875774
91.136015,63,859.467793
102.396635,69,872.118033
92.534476,59,884.722787
108.410038,74,897.399197
99.49869,67,910.024879
104.237235,69,922.718895
98.965988,69,947.504135
94.071237,64,968.291955
93.716852,67,980.727845
100.732433,65,993.407041
117.559688,74,1006.129175
112.009205,77,1018.656782
105.609587,71,1031.069484
99.930055,71,1043.872483
112.426923,73,1056.492509
109.290551,68,1068.97232
111.640033,70,1101.972536
113.244043,75,1114.386093
119.478419,78,1126.870658
112.333932,74,1139.437064
91.745473,65,1151.969634
115.418494,80,1164.675984
115.878593,72,1177.441143
111.823729,74,1202.957269
110.769411,76,1216.315325
107.68253,71,1237.726091
128.826458,85,1251.096973
134.511965,85,1277.891064
104.808228,73,1291.067953
122.636291,78,1304.754199
122.841031,80,1318.290474
131.658536,85,1331.757093
117.025064,75,1356.972583
127.17385,84,1379.910932
128.913661,82,1393.441377
122.888316,75,1406.809494
124.550714,80,1432.48034
118.283708,79,1446.024171
118.084137,74,1459.018966
113.919891,74,1471.354327
123.790251,76,1483.799214
115.231213,75,1517.807656
130.603481,85,1532.052718
116.682438,79,1545.567595
130.875202,85,1559.288608
139.838909,90,1584.860591
111.347152,74,1598.251575
135.333612,87,1611.407042
129.931101,78,1637.995545
124.089536,81,1662.23424
