# {"t_start": 1639658002.2685063, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
6.172816,5,3.154611
8.42632,13,3.312549
12.236952,13,3.46902
14.509603,7,3.552269
12.71487,6,3.623828
-8.475735,7,3.708006
9.421774,13,3.862139
10.712029,12,22.94932
18.504892,14,23.117311
17.887176,15,23.298345
16.367044,14,23.467162
12.449563,11,34.616296
6.384281,17,34.829524
15.595336,6,34.9076
11.900669,6,34.987849
16.336642,15,35.180135
13.683567,5,35.245143
12.336273,9,35.361461
8.008063,6,46.482285
13.382201,8,46.58877
11.286098,6,46.668348
17.564502,13,46.840105
19.804479,10,46.976211
18.758932,9,47.093296
16.403269,16,47.302868
16.190717,7,58.466953
19.36792,9,58.586687
15.152478,12,58.745546
15.622042,6,58.824736
9.443718,5,58.891831
21.382379,11,59.040898
18.810549,14,59.22699
14.181433,14,70.354281
19.847717,11,70.498379
16.265033,10,70.629446
17.228343,8,70.73346
18.316,8,70.838734
12.303352,5,70.9041
14.573606,6,70.98233
14.810323,6,81.974042
11.883016,5,82.040573
19.925137,13,82.210465
15.556063,6,82.288632
17.2877,6,82.36775
16.570861,7,82.462597
17.795432,8,82.569686
20.292652,18,94.106167
24.941179,14,94.288862
16.430629,9,94.406587
18.753387,9,94.525334
16.613833,8,94.630073
18.888105,11,94.77673
15.990062,7,94.869964
16.783408,7,106.190089
15.474828,8,106.301022
21.596618,16,106.517573
20.035651,7,106.612504
17.440989,9,106.732305
19.337712,11,106.878552
19.624975,10,118.045005
17.772757,7,118.13908
23.895375,19,118.390446
20.101634,9,118.510908
37.565516,40,130.378867
24.050402,12,130.536528
15.491221,8,130.641844
18.030259,8,130.751265
30.635716,46,150.107643
43.713449,34,150.550224
46.792972,36,162.316966
30.812287,23,162.618047
17.378086,14,176.747759
34.922809,23,177.077435
34.041688,22,177.412602
41.894646,30,192.026298
30.682392,17,192.266917
43.86512,31,192.702213
33.924075,32,206.456498
42.364729,26,206.797381
37.170211,22,220.42316
28.565153,18,220.682647
41.374101,27,221.048037
40.844761,27,236.065954
58.510532,37,236.579055
60.175825,46,250.328591
58.198036,36,263.557888
54.785386,40,264.080099
57.390529,44,277.593715
60.468857,39,301.040698
48.889462,30,301.441724
67.643339,47,313.939603
69.265075,46,325.980945
64.925137,48,326.626367
65.363222,44,338.78396
62.837834,41,350.931372
58.724116,38,351.440934
67.926985,44,363.425863
72.277615,48,375.749076
56.792815,45,376.358673
77.23623,58,388.72577
55.671951,49,400.880791
73.714149,45,412.930621
64.704582,42,413.499611
69.856747,45,433.899133
71.781413,45,446.101871
68.951771,45,446.703186
72.335738,44,458.785204
72.900689,49,470.814708
74.989079,49,483.127054
80.145322,51,483.824264
68.148776,51,496.075243
73.339226,49,508.351308
73.416748,47,520.66907
76.494981,58,533.292221
92.220135,66,545.438845
60.986939,42,545.996022
60.267243,52,567.055545
94.882974,63,579.693444
64.979186,54,592.392579
100.883816,65,604.611121
96.875667,62,617.014695
77.08685,61,629.555723
92.030029,72,642.322144
79.424849,62,655.132655
81.79927,59,667.7423
71.779838,48,679.902923
83.351816,61,701.742823
93.29565,59,714.10164
77.459343,58,714.880406
97.005607,63,727.087924
80.808044,52,739.272018
84.493959,57,751.707813
92.811953,63,763.977895
92.402483,67,776.418437
89.344612,60,788.498698
100.995014,66,801.051744
100.92354,65,813.460257
108.766449,72,836.795913
94.876294,69,849.402083
111.509767,71,873.80192
91.692241,65,886.506561
95.339483,63,899.037236
108.630908,70,911.694815
107.229407,68,924.383781
91.974069,60,937.190047
104.596008,73,950.027339
103.921104,69,970.891813
86.616135,66,983.305295
109.53538,70,996.057996
94.905461,66,1008.672599
104.151847,71,1021.116886
120.245675,82,1033.677537
91.882106,66,1046.416145
119.644438,79,1070.681106
110.511241,72,1083.618749
116.229196,77,1104.736881
113.037431,73,1117.122689
107.74581,70,1129.499015
104.806811,71,1142.029944
109.057514,74,1154.683725
115.995541,75,1179.12192
93.649002,78,1191.734134
101.984837,70,1205.637244
113.593974,74,1218.96225
120.614567,81,1240.513157
118.718477,77,1267.171834
110.609215,79,1280.490891
108.450183,68,1293.600044
118.179158,79,1307.298931
111.882495,76,1320.777179
106.274843,74,1334.096273
124.436398,88,1359.488821
107.335848,72,1382.264416
109.569476,77,1395.727954
128.864198,80,1409.162327
122.209951,89,1434.953896
112.661901,75,1448.444419
123.814043,76,1461.467311
120.323056,81,1473.894936
115.77029,77,1498.097646
118.909943,76,1520.369903
117.199481,80,1534.556304
112.895516,78,1548.057099
116.456896,81,1573.784465
131.625209,90,1587.291292
113.06755,73,1600.671235
123.31317,76,1613.680407
132.527741,86,1640.374006
120.277581,79,1664.578389
