# {"t_start": 1639658004.36523, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
8.922987,6,1.077604
6.306925,13,1.230489
11.614299,12,1.376155
6.436491,12,1.517949
10.312191,5,1.578716
12.0855,9,1.686895
10.338404,5,1.746524
14.879282,16,20.880259
15.631192,8,20.976746
22.955141,20,21.220398
15.073128,16,21.410795
11.846668,11,32.565945
9.682839,9,32.676011
10.401065,16,32.886405
13.126787,7,32.976332
15.940047,8,33.077601
14.162309,6,33.156684
13.969292,7,33.245333
14.107966,14,44.472062
14.82379,8,44.578813
12.02297,7,44.672381
14.639193,10,44.805955
15.256512,8,44.911901
9.483699,20,45.174031
13.268234,5,56.309019
16.482806,7,56.403509
-1.32766,11,56.550528
32.423171,23,56.857136
11.338575,8,56.966476
15.84023,7,57.059608
19.143933,14,68.186012
16.872151,6,68.265217
27.133046,23,68.566955
7.988419,9,68.683058
17.173585,9,68.803026
17.229154,7,68.89263
13.056034,13,79.976461
14.413769,7,80.067518
17.887525,7,80.159072
21.429364,12,80.319326
18.817628,11,80.465003
13.89449,11,80.611998
17.306713,8,92.015463
21.200746,12,92.174188
14.204972,10,92.304995
23.688877,12,92.460663
17.316405,8,92.567563
14.307803,7,92.662493
21.498189,9,92.780968
11.657215,15,104.211875
24.669206,15,104.415057
27.409195,17,104.643713
26.079403,17,104.868778
16.341024,8,116.010143
17.202471,6,116.091311
15.027787,14,116.275057
23.067373,17,116.503237
15.937716,7,116.595518
22.140247,11,116.739987
22.319498,9,128.196843
14.457131,7,128.2902
14.982907,11,128.434056
46.861122,38,128.933791
27.457995,18,147.925432
20.213614,8,148.030052
16.006078,6,148.106826
24.750781,14,148.289643
23.3855,12,148.448106
27.628232,16,159.956043
23.229322,15,160.15004
25.987002,15,160.344139
32.902762,20,160.604365
32.156042,26,174.918031
52.334144,43,175.598884
41.506668,29,190.150612
37.213986,24,190.487072
29.641489,23,204.127686
48.124841,34,204.576645
52.959162,33,218.350359
51.178483,36,218.851671
62.838604,47,234.142598
67.145048,47,247.897066
55.05447,41,248.470955
48.356588,34,261.668144
54.788533,37,262.14558
49.712179,33,275.518769
53.921873,36,298.924327
58.834511,39,299.446722
79.230126,53,312.03077
65.328851,41,323.998639
70.829016,45,324.606251
56.387656,33,336.613322
66.678793,41,337.170341
69.558359,44,349.352976
73.928262,47,361.374607
71.468141,50,373.726174
70.485536,44,374.323953
67.831962,42,386.475712
73.941607,58,398.751581
61.292701,42,410.762436
73.696095,47,411.396957
75.522856,48,431.839028
70.502851,43,444.013228
63.824589,47,444.642107
71.935775,48,456.778262
73.492042,51,468.835112
78.663688,51,481.174608
66.227229,54,493.470806
73.765447,47,494.109915
76.034247,51,506.408901
68.573886,43,518.673069
73.900385,55,531.257517
63.236882,54,543.241603
87.221405,59,564.389156
93.646391,62,565.219541
70.114201,60,577.818012
69.017819,55,590.527676
82.658587,50,602.551653
94.547567,61,614.940477
83.41015,59,627.452607
80.726767,53,639.967348
89.651896,67,652.844602
81.099828,55,665.401224
88.19349,64,677.772167
102.794557,65,699.66763
92.436576,62,712.06768
96.489359,69,724.359359
88.965474,63,736.687031
78.911227,52,749.057978
89.176965,65,761.348639
116.898787,70,773.82694
93.996485,61,785.920858
109.115035,72,798.556008
98.868875,66,810.985185
87.071954,68,834.267105
92.789589,66,846.833775
115.187968,72,859.542109
91.78702,66,872.153018
109.08509,71,884.91817
105.89967,66,897.488427
110.958551,71,910.164371
94.682506,67,922.834243
119.406432,78,947.740942
89.188318,62,948.566285
112.102902,69,980.962362
103.062741,71,993.724495
99.883738,62,1006.284629
116.844139,76,1018.798945
114.30265,72,1031.22625
102.516026,71,1044.027946
107.635744,74,1056.661
113.71674,72,1069.197787
125.924329,80,1102.329493
107.103683,75,1114.744384
123.131695,78,1127.227193
113.87465,74,1139.79493
113.633316,73,1152.432616
118.43985,76,1165.087507
124.275043,78,1189.503041
104.777106,71,1203.411268
94.749526,70,1216.688296
107.532192,72,1238.115354
115.822863,74,1251.334104
120.401663,79,1265.794245
99.105165,70,1279.034178
111.265579,72,1304.78877
116.914693,81,1318.345182
98.273433,68,1331.577206
97.204952,73,1343.79553
121.621252,84,1357.90145
131.182804,83,1393.226109
110.770793,72,1406.579064
114.065346,73,1419.433479
111.734736,77,1433.184159
115.296601,81,1446.761295
114.912993,85,1471.241701
125.199719,79,1483.727459
123.02735,80,1496.568287
115.933786,84,1532.026323
123.067169,77,1545.522883
117.316877,83,1559.20603
113.813954,81,1572.37847
128.311944,84,1598.19039
132.58882,87,1611.35199
137.20444,90,1625.15196
136.243346,88,1662.41642
