# {"t_start": 1639658005.032109, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
2.470653,8,0.437801
9.559329,21,0.686297
13.529863,12,0.828913
7.676731,11,0.961386
12.677438,9,1.070645
19.249065,20,20.251861
11.099869,11,20.386756
5.101672,5,20.445937
10.192328,12,20.590541
14.643969,6,20.663127
12.771239,8,20.758804
10.588107,6,31.848198
17.31161,17,32.061584
18.77154,15,32.258186
16.995634,12,32.412317
12.158726,11,32.554951
15.098523,11,43.741388
15.204693,8,43.847055
13.163663,8,43.953892
17.929162,10,44.085828
1.322403,10,44.221811
7.032654,9,44.337276
16.422119,7,44.430468
14.161313,10,55.630981
11.2225,5,55.698939
16.616544,7,55.793658
14.4034,11,55.938613
15.689453,6,56.015347
12.939489,6,56.097574
15.810588,9,56.219077
19.268557,9,56.341152
11.793702,6,56.419736
16.111752,7,67.45326
18.316752,6,67.534442
19.419678,7,67.624558
15.894086,10,67.757576
20.302276,7,67.846375
11.69283,9,67.964624
15.738591,6,68.045684
7.654275,6,68.123245
23.782247,16,79.24604
14.667913,5,79.311259
17.186306,7,79.403743
13.459758,5,79.469477
24.784201,15,79.666652
18.096965,12,79.82609
16.316858,6,79.906544
18.405667,8,80.009847
13.441195,7,91.40311
17.71373,10,91.532389
15.766667,7,91.626898
17.85705,9,91.741776
18.871492,8,91.850906
17.916468,11,91.99642
13.627246,8,92.102402
16.936336,11,103.476855
17.373326,11,103.627849
15.346403,13,103.804679
18.437831,16,104.017289
14.601034,6,104.097133
14.945596,7,104.190514
21.664146,14,115.412201
20.820707,12,115.569028
21.187941,10,115.704987
19.511044,8,115.809791
21.936777,15,116.009022
26.356608,15,127.544341
26.133935,19,127.794904
23.91141,16,128.00723
18.371225,7,128.099359
14.28795,11,128.242771
36.963915,27,147.35314
50.62487,34,147.793906
18.149705,8,147.899644
24.424418,13,159.366112
28.214565,18,159.598178
29.092708,18,159.836879
60.99654,56,174.575694
49.905601,34,189.258895
45.720925,32,189.707875
31.564879,19,189.974893
56.169561,40,203.830799
56.169842,36,217.641952
42.699688,29,218.054761
50.822221,30,233.098736
58.769304,41,233.668911
59.07246,45,247.400661
55.024439,36,247.903403
65.704576,45,261.235683
61.820287,45,274.757704
68.313638,49,298.342143
66.410973,46,298.959807
69.461722,43,311.405258
71.392332,45,323.4266
68.750666,43,324.008518
77.399914,54,336.302081
59.219902,37,348.393421
65.790524,47,360.411803
58.849102,43,360.985762
57.687916,39,373.196621
64.633937,40,373.738993
62.731516,39,385.850111
65.816208,42,397.911146
64.831584,52,410.0548
76.205383,52,410.756789
65.258065,44,431.145626
70.538608,46,443.361087
78.295388,51,455.531646
73.089103,45,456.14093
73.242031,48,468.155608
62.986787,41,480.359681
95.053079,62,492.763546
68.228821,44,493.36165
73.986133,48,505.62327
68.206804,47,517.942165
68.78716,51,530.47056
79.297646,59,542.523525
65.056245,44,543.109539
75.832114,54,564.192526
75.472602,49,576.647483
72.733406,54,589.338693
74.28747,54,601.416456
77.254568,56,602.166615
98.439717,63,614.586933
81.241185,57,627.064408
89.053669,60,639.676839
79.400089,53,652.365619
78.346233,58,664.961656
77.380629,50,677.149931
84.226775,59,698.96111
115.112852,67,711.429977
76.641436,55,723.534346
88.058849,63,735.85319
88.547672,54,736.58362
95.506693,68,749.170976
99.284734,68,761.504014
93.297305,64,773.911181
105.453816,71,797.794915
104.07502,68,810.252382
109.842719,70,833.560832
95.475198,66,846.130555
115.793524,75,858.876456
88.174492,63,871.442487
95.811396,63,884.103774
100.411812,61,896.606211
103.873803,70,909.270163
108.99532,68,921.954199
124.402134,78,935.002758
89.003035,64,947.712625
99.016105,64,968.517084
113.053787,71,980.99632
89.152784,69,993.738182
101.522242,67,1006.359528
115.285936,72,1030.278579
115.442344,76,1043.146439
115.3788,71,1055.743022
110.086707,71,1068.264348
115.376703,76,1081.253081
98.812592,68,1102.248354
112.758542,71,1114.60453
124.213371,81,1138.716787
125.591446,78,1151.416898
120.016314,77,1164.086657
104.311571,64,1176.747
103.163284,70,1189.245644
118.66038,82,1203.31496
125.181827,80,1237.174997
111.38797,72,1250.373012
130.360889,81,1264.860708
95.846058,71,1278.108444
105.397138,68,1291.189874
108.250518,75,1304.834484
109.275874,72,1330.579729
119.49924,78,1342.862017
115.453425,77,1356.873308
113.358425,78,1379.725835
128.260518,85,1405.654995
123.634827,81,1418.615496
121.189176,80,1432.413631
121.782352,82,1446.00329
127.336672,82,1470.441462
119.37248,82,1482.969082
133.593295,87,1495.899227
119.3571,79,1518.233041
115.488167,80,1544.831479
116.821579,76,1558.419888
130.188614,86,1571.658281
114.491152,82,1597.439156
111.164848,79,1610.49708
112.735354,72,1624.058648
124.590224,82,1638.134191
