# {"t_start": 1639658003.531554, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
1.150097,9,1.947858
6.864038,6,2.018863
9.822601,15,2.1984
6.101358,15,2.375891
10.447729,5,2.434922
18.404617,17,21.578322
17.905498,20,21.819704
11.568078,16,22.014033
10.798823,6,22.087868
2.73448,11,22.218037
16.644939,11,33.369956
7.65624,7,33.45778
15.144475,17,33.676023
13.243685,17,33.895774
12.95832,11,34.038002
17.159056,14,45.263343
17.952678,18,45.502792
15.913221,8,45.610057
15.04785,6,45.690503
13.827166,8,45.7968
8.657976,8,45.901959
15.136458,7,45.993303
11.998431,7,57.15397
7.287621,8,57.263277
19.930126,8,57.367672
12.817529,5,57.433873
19.510206,9,57.552901
10.942796,6,57.632768
11.391454,6,57.71382
17.923148,8,57.823353
15.740069,8,57.929935
16.768406,8,68.97826
19.568096,9,69.095871
18.758437,9,69.213929
18.049292,10,69.345037
11.091279,7,69.436782
16.413152,8,69.541112
19.09056,7,69.632581
26.211989,16,80.755512
22.433917,16,80.965594
16.236299,8,81.07032
14.870394,7,81.164461
23.730997,16,81.376962
19.379471,13,92.848147
21.286706,12,93.003688
20.452111,15,93.201232
14.339442,10,93.332624
14.478984,5,93.398782
28.245867,19,93.651411
23.464803,15,105.083594
19.080825,9,105.204046
15.607592,8,105.314178
15.142679,8,105.420428
18.724705,7,105.512484
18.619978,8,105.620424
18.550813,13,116.826393
22.868122,11,116.973284
24.973751,29,117.359332
18.014353,11,117.504282
21.398911,11,128.986631
29.892852,20,129.251254
26.760226,15,129.451041
19.256988,12,129.608795
21.211051,12,129.764479
48.061632,37,149.003792
35.977735,24,149.318318
20.552232,10,160.747592
47.604298,35,161.200439
20.054725,8,161.3066
19.501181,11,161.448594
42.632235,29,175.808558
18.071949,6,175.8923
45.036028,29,176.360369
39.663357,27,190.895756
36.24803,29,191.304265
43.994663,40,205.171682
46.928594,38,205.670882
32.203794,19,219.267573
48.576984,34,219.736731
64.67318,46,235.012393
59.539374,43,248.710739
54.12006,36,249.223688
51.65635,33,262.405529
55.478366,48,275.94633
62.142709,45,276.558172
52.542693,35,299.955008
62.636385,40,300.4954
63.851707,42,312.927043
58.073427,42,324.908476
61.903237,38,325.422268
49.113686,32,337.415752
61.987602,36,337.905356
69.84051,45,350.102011
67.881451,41,362.042393
68.099696,45,362.639928
73.055465,47,374.96633
60.307859,39,387.076825
66.220755,46,387.696996
71.237432,47,399.822517
63.258314,51,411.957398
75.471477,58,432.535225
66.552016,43,444.713277
63.215146,42,445.272387
66.800459,47,457.390016
72.124417,49,469.419159
73.425615,56,481.827623
65.411948,42,482.401024
73.403673,54,494.69458
75.852144,51,506.999122
71.974328,51,519.3708
71.932199,46,519.992627
78.43953,52,532.532554
69.817859,48,544.433328
72.987828,51,565.471602
75.359182,55,578.004841
96.426723,66,590.860022
106.336106,64,603.06941
78.976105,53,615.357271
75.836618,60,616.162689
84.610706,56,628.627795
104.576185,69,641.357904
82.393444,52,654.034848
87.535866,53,666.565619
77.922497,49,678.736835
90.350587,67,700.661909
93.965231,58,713.005381
113.62588,76,725.387592
81.594104,58,737.653826
105.371357,69,750.251612
94.906958,68,762.584416
87.689054,57,774.885827
83.768535,59,786.957093
98.906476,61,799.4422
99.175493,65,811.855896
91.074296,70,835.162539
96.518596,71,847.798979
99.336969,68,860.453681
104.335882,65,873.052073
114.731454,78,885.909561
100.092255,63,898.438883
101.840084,69,911.08945
89.167744,63,923.705714
108.248143,74,936.698355
109.212004,68,969.398733
105.151102,68,981.847784
95.533823,72,994.6238
117.051042,73,1007.33186
112.614225,71,1019.776435
107.336188,70,1032.1784
96.13025,64,1044.885591
98.723907,66,1057.412802
90.804843,64,1069.84178
114.174583,77,1082.845988
110.351784,73,1103.904606
118.261686,77,1127.797938
110.559829,73,1140.346317
116.119415,76,1153.020252
117.18796,76,1165.674222
104.334504,68,1178.391006
117.610306,75,1190.954876
119.099558,76,1217.273942
118.24831,75,1238.738142
124.913143,75,1251.976444
109.881938,72,1266.34329
122.057695,81,1279.732713
113.077423,76,1305.538397
110.140673,72,1318.974415
99.829903,66,1332.182833
126.304065,79,1344.477305
130.949784,88,1358.636145
110.939511,75,1381.464699
120.301495,78,1407.289387
124.455825,84,1420.290439
117.021781,80,1434.082981
109.795944,74,1447.564172
123.633892,76,1471.921713
113.567371,76,1484.369734
122.880518,81,1497.207411
125.747095,85,1519.601375
118.19565,78,1546.207359
118.830585,77,1559.807995
141.298573,93,1573.138499
125.662086,82,1598.923217
120.855039,80,1611.991984
120.958829,77,1625.625783
105.263254,75,1639.602133
125.46475,82,1663.94792
