# {"t_start": 1639658002.3685284, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
2.538739,7,3.080248
6.127961,43,3.596375
4.452414,16,22.726431
11.900452,7,22.81278
11.989591,16,23.005332
12.120993,8,23.101732
11.833841,7,23.185214
10.188415,8,23.284222
20.976369,12,23.428201
8.843874,5,34.503758
5.727725,16,34.704217
5.863429,7,34.794185
11.866687,7,34.887827
7.58344,9,35.002921
16.390555,9,35.119576
9.378356,9,35.23528
15.677444,6,35.313776
16.791054,8,46.461986
17.045225,7,46.555309
12.935395,9,46.674842
16.992099,8,46.781888
8.395884,7,46.876276
19.878925,11,47.019337
2.53228,10,47.150663
17.901589,7,58.31143
8.668418,9,58.434507
12.937278,5,58.499679
9.557599,5,58.566531
24.25696,17,58.791845
17.336581,9,58.914836
10.523311,9,59.034772
14.592775,7,59.126905
17.72432,10,70.201796
15.316886,7,70.293822
13.303012,5,70.359147
15.739288,13,70.529533
13.749691,6,70.60798
13.858744,10,70.738796
8.077533,9,70.855567
15.398897,5,81.834286
19.859002,13,82.006518
17.365187,13,82.175694
22.873066,16,82.389702
17.405999,7,82.482697
17.854459,9,82.601685
18.600019,9,94.019224
15.956707,5,94.083951
21.622572,13,94.25556
24.212995,17,94.476295
15.944255,6,94.556719
17.102061,6,94.63695
18.756806,7,94.729588
25.858031,21,106.241862
20.158567,10,106.377134
20.592322,10,106.512559
17.373426,8,106.619772
17.286648,14,106.806177
23.471429,15,118.038985
22.264042,13,118.210985
21.036882,10,118.346414
23.983275,14,118.532649
23.58781,13,118.701837
22.497976,14,130.224632
22.440532,16,130.436521
19.87658,15,130.636668
19.26399,10,130.766966
20.173341,8,130.871719
38.582734,26,149.967559
43.160349,32,150.386004
19.317351,12,150.541601
19.852609,11,161.983972
34.78763,28,162.346926
18.501949,10,162.478752
54.92214,54,177.173892
33.773545,23,177.565357
29.207,20,191.996524
46.126558,31,192.433291
56.863766,42,206.330215
53.365861,36,206.803869
44.221088,32,220.582701
38.842291,38,235.737971
51.596748,32,236.185681
47.884732,30,249.706991
58.00553,42,250.302577
47.855238,35,263.511291
59.690078,38,264.006091
58.284995,40,277.466883
62.906158,40,300.927467
64.975102,43,301.504921
56.619612,33,313.811367
61.263871,42,314.384381
55.554977,38,326.310849
74.497087,44,338.466245
68.992453,51,339.16049
62.081624,38,351.26087
66.748929,55,363.391445
65.81822,40,375.608253
62.817576,45,376.218024
65.542905,40,388.343605
69.538115,43,400.416641
72.394799,47,401.047716
70.079679,44,413.086763
70.638984,46,433.503438
69.486728,46,434.126965
79.933152,59,446.509614
75.347633,48,458.644399
61.140579,54,470.742022
68.653209,42,482.958392
73.350653,46,483.587043
73.755102,50,495.826506
68.482881,47,508.075628
79.079829,53,520.472797
81.811179,51,521.161561
74.0045,57,533.770151
81.655913,63,545.869748
71.986315,56,566.982568
81.988052,57,579.539001
85.224627,57,592.279356
79.089716,50,604.294003
89.809008,58,616.646678
83.628887,57,629.140094
78.893752,58,629.90617
77.635025,61,642.529257
73.02114,51,655.193165
72.032112,59,667.804322
100.942471,66,680.202012
67.462123,50,701.904024
93.962582,64,714.325552
92.853163,62,726.520847
89.065965,60,738.813056
79.721201,56,751.236791
109.451878,73,763.635496
113.414438,75,776.180832
97.471226,63,788.304299
106.04518,71,800.923704
85.270417,57,813.225235
100.215544,70,836.53548
114.929122,71,849.170451
104.259249,66,861.801641
97.256717,64,874.384888
100.77686,64,887.054848
83.391925,61,899.557525
107.890545,70,912.220591
105.239718,74,924.986008
94.942874,57,937.75061
103.578669,65,950.471676
88.898393,60,971.224846
101.566907,73,983.733245
120.004186,77,1008.301287
107.094509,73,1020.775565
109.815249,66,1033.121763
96.435672,64,1045.827387
111.465533,67,1058.367586
109.67522,78,1070.986984
121.595022,79,1084.016429
93.088585,67,1104.996358
93.546229,74,1128.850907
118.127946,79,1141.478014
108.905695,72,1154.098879
108.699246,70,1166.670976
125.010146,83,1179.590134
99.223686,69,1192.07264
116.963424,76,1218.391903
110.188042,71,1239.802404
115.431432,71,1252.98421
122.954546,78,1267.435989
96.049645,69,1280.64623
124.732539,80,1293.898983
119.607873,77,1320.025451
106.889957,70,1333.288515
115.729972,75,1345.52946
131.573725,84,1359.631925
122.902751,79,1382.502244
93.264198,74,1395.926186
120.780493,79,1421.214072
126.856535,83,1435.055185
126.747355,85,1448.684923
117.861757,76,1473.040491
129.222194,84,1485.596637
131.938998,86,1498.501953
124.437022,81,1520.866115
121.828078,78,1547.446378
109.862716,79,1561.073668
125.916442,81,1574.245708
115.733906,76,1587.549468
129.986253,82,1613.044918
138.211884,91,1626.868134
118.057923,75,1640.843539
