# {"t_start": 1639658003.8029802, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
12.16335,16,1.757577
12.484298,7,1.840869
13.597644,11,1.97432
8.743168,12,2.121738
11.328817,11,2.248534
14.093446,13,21.345087
11.088147,8,21.445523
4.037396,10,21.563403
9.625329,7,21.649916
6.35145,22,21.912852
13.840319,10,22.031852
5.818446,7,33.136795
15.887276,10,33.264485
12.359577,9,33.37936
13.771791,15,33.574754
14.667443,7,33.663665
12.039599,11,33.805453
14.896931,9,44.9658
15.096133,9,45.085313
14.479328,8,45.192284
11.037234,6,45.272043
10.410369,6,45.352381
17.656345,15,45.550879
14.533893,6,45.629872
11.807846,7,45.72103
17.672105,7,56.881422
12.19055,6,56.963962
16.005824,12,57.124641
16.378806,13,57.295452
16.720037,11,57.442589
13.614582,8,57.552929
17.437273,15,68.695133
14.228293,7,68.784966
15.195542,6,68.864742
13.199891,9,68.982733
11.848506,6,69.061321
15.41866,6,69.139049
18.234584,11,69.284225
15.402089,5,69.348751
21.962818,11,80.405041
18.254377,14,80.589195
11.44186,6,80.66821
15.362325,6,80.748621
19.091141,12,80.907422
18.896469,7,80.999179
13.603694,9,81.118581
22.373518,14,92.6028
14.815226,8,92.707439
18.325836,9,92.826267
24.56235,19,93.074822
18.652892,9,93.193709
15.198572,11,93.3408
34.01908,25,104.907384
23.735204,15,105.11012
25.387402,23,105.415669
16.17628,9,116.569849
22.783758,15,116.768382
18.432095,9,116.8893
18.365176,13,117.063268
21.524174,15,117.25936
30.550109,24,128.914125
16.623704,8,129.020277
18.902136,8,129.126735
23.632746,12,129.286595
21.145846,9,129.402263
30.607904,21,148.434832
25.159656,14,148.616693
20.215565,10,148.745913
20.049784,7,148.836915
18.49962,9,148.956507
33.51615,23,160.554605
48.150818,40,161.075279
41.910602,28,175.40221
45.786568,32,175.888102
48.303847,44,190.695149
36.95496,26,191.060935
47.628004,44,204.982192
42.058497,43,218.883933
46.686966,33,219.346819
56.588765,37,234.496475
59.245902,39,235.036035
65.902168,43,248.730844
66.345167,43,262.068274
53.922598,43,262.627469
58.592356,41,276.105711
53.820173,41,299.580021
44.219073,40,300.117454
59.051408,35,312.45191
63.324152,41,313.009751
55.787072,36,324.908885
61.241504,38,336.98294
54.6727,36,337.471354
60.857033,38,349.578477
69.307717,43,350.15064
60.193556,45,362.14927
63.469964,37,374.327189
69.779016,44,374.924387
65.428251,41,387.063447
52.631383,51,399.24436
69.413096,43,411.267216
67.689157,46,411.88916
64.56305,46,432.304245
88.170288,58,444.679473
57.33049,40,456.704557
71.320768,48,457.351593
68.856401,46,469.339985
57.383317,46,481.611536
66.690443,41,482.171561
63.239812,52,494.438098
77.689615,53,506.768519
82.938887,62,519.287081
78.386983,53,531.844924
73.571027,51,543.787131
76.769878,57,544.548323
72.102621,55,565.647063
83.372892,58,578.218279
70.431231,53,590.904594
77.775249,60,603.054662
96.604117,68,615.540255
99.747063,67,628.164505
87.094911,65,640.832882
78.052963,55,653.550054
87.025396,58,666.146851
77.906509,53,678.373891
88.133285,61,700.213768
75.305219,49,700.882788
82.026325,55,713.17511
83.002439,54,725.263699
89.717093,63,737.596978
75.3443,58,750.045182
84.986418,60,762.276279
97.416289,64,774.669916
110.629949,66,786.835425
107.727841,66,799.388844
109.41343,75,811.930553
87.148012,59,835.09296
93.042478,62,847.611921
95.678151,62,860.182715
122.563276,76,872.929155
90.587696,62,885.57343
106.105585,71,898.209382
130.596968,81,922.787928
111.003695,75,935.795235
105.567249,69,948.578072
103.734574,69,969.443662
98.752105,66,981.855954
98.985306,68,994.582737
109.129587,70,1007.249749
100.310572,68,1019.657798
101.144119,72,1032.080702
97.2077,72,1044.900548
107.27943,71,1069.057589
117.083257,74,1082.022155
116.175068,79,1103.166667
107.033772,73,1115.553391
102.179406,64,1127.852788
121.279365,80,1140.500242
106.793565,75,1153.170045
114.096803,72,1177.566908
110.98662,77,1190.165932
101.247849,71,1204.080439
110.118015,70,1217.352961
104.673092,73,1238.795028
126.268786,77,1252.056613
120.725966,78,1278.754163
121.76369,81,1292.041714
116.072126,77,1305.71532
123.278779,79,1319.235061
105.327828,75,1332.567196
106.625305,71,1357.722503
126.560368,84,1380.670186
116.408709,74,1394.089234
114.629149,76,1407.472447
108.389172,78,1420.392062
101.074265,74,1446.593792
125.370221,80,1459.663639
114.375669,79,1472.070625
110.322734,82,1484.595578
115.652632,82,1518.69776
122.897833,80,1532.873851
115.940833,80,1546.404604
117.134133,78,1560.023682
133.073384,83,1585.508135
131.864062,84,1599.035919
118.206455,77,1612.057845
129.534237,86,1638.750167
127.043672,84,1663.019435
